name,prefix_type,name_IAST
durjanI,cvi,durjanī
durbalI,cvi,durbalī
duvas,other,duvas
dUrato,other,dūrato
dUrI,cvi,dūrī
dfQatarI,cvi,dṛḍhatarī
dfQI,cvi,dṛḍhī
devabrAhmaRasAt,other,devabrāhmaṇasāt
devasAt,other,devasāt
dravI,cvi,dravī
dvaMdvI,cvi,dvaṃdvī
dvArI,cvi,dvārī
dviguRI,cvi,dviguṇī
dvijI,cvi,dvijī
dvitIyA,DAc,dvitīyā
dviDA,DAc,dvidhā
dvEDI,cvi,dvaidhī
Dik,other,dhik
DIrI,cvi,dhīrī
DUmrI,cvi,dhūmrī
DyAmalI,cvi,dhyāmalī
DvaMsakalA,DAc,dhvaṃsakalā
DvajI,cvi,dhvajī
nagnI,cvi,nagnī
namrI,cvi,namrī
narI,cvi,narī
navI,cvi,navī
nazwapizwI,cvi,naṣṭapiṣṭī
nAgI,cvi,nāgī
nAwakI,cvi,nāṭakī
niHSAKI,cvi,niḥśākhī
nikfzwI,cvi,nikṛṣṭī
nidrAdaridrI,cvi,nidrādaridrī
niDAnI,cvi,nidhānī
nipAnI,cvi,nipānī
nibiqI,cvi,nibiḍī
niBftI,cvi,nibhṛtī
nimittI,cvi,nimittī
niravakASI,cvi,niravakāśī
niruttarI,cvi,niruttarī
nirdrumI,cvi,nirdrumī
nirDanI,cvi,nirdhanī
nirmAnuzI,cvi,nirmānuṣī
nirvastrI,cvi,nirvastrī
nirvivAdI,cvi,nirvivādī
nirvizI,cvi,nirviṣī
nivacane,other,nivacane
niScezwI,cvi,niśceṣṭī
nizkaruRI,cvi,niṣkaruṇī
nizkAmazI,cvi,niṣkāmaṣī
nizkulA,DAc,niṣkulā
nizkulI,cvi,niṣkulī
nizpattrA,DAc,niṣpattrā
nizpandatarI,cvi,niṣpandatarī
nizpandI,cvi,niṣpandī
nizputrI,cvi,niṣputrī
nizpratiBaM,other,niṣpratibhaṃ
nizpratyASI,cvi,niṣpratyāśī
nizPalI,cvi,niṣphalī
nistuzI,cvi,nistuṣī
nIcI,cvi,nīcī
nIrajI,cvi,nīrajī
nIhArI,cvi,nīhārī
nfpakriyAM,other,nṛpakriyāṃ
nfpatvaM,other,nṛpatvaṃ
nO,other,nau
nyAsI,cvi,nyāsī
nyUnI,cvi,nyūnī
