name,name_IAST
animezam,animeṣam
aniyantraRam,aniyantraṇam
anirdaSam,anirdaśam
aniSam,aniśam
aniSitam,aniśitam
anizpattram,aniṣpattram
anIkaSas,anīkaśas
anIcEs,anīcais
anu,anu
anukacCam,anukaccham
anukanaKalam,anukanakhalam
anukapolam,anukapolam
anukalam,anukalam
anukAmam,anukāmam
anukAlam,anukālam
anukramam,anukramam
anukzaRam,anukṣaṇam
anukzapam,anukṣapam
anugaNgam,anugaṅgam
anugavam,anugavam
anugiram,anugiram
anugu,anugu
anuguRam,anuguṇam
anugodam,anugodam
anugrAmam,anugrāmam
anuccEs,anuccais
anujanam,anujanam
anujyezWam,anujyeṣṭham
anutawam,anutaṭam
anutilam,anutilam
anudakam,anudakam
anudinam,anudinam
anudivasam,anudivasam
anudiSam,anudiśam
anudeham,anudeham
anunadi,anunadi
anunayam,anunayam
anuniDAnam,anunidhānam
anuniSam,anuniśam
anuniSITam,anuniśītham
anupagItam,anupagītam
anupati,anupati
anupaTam,anupatham
anupadam,anupadam
anuparikrAmam,anuparikrāmam
anuparicAram,anuparicāram
anupariDi,anuparidhi
anupariSrit,anupariśrit
anuparihAram,anuparihāram
anupAtam,anupātam
anupAde,anupāde
anupiRqam,anupiṇḍam
anupUrvam,anupūrvam
anupUrvaSas,anupūrvaśas
anupUrveRa,anupūrveṇa
anupratikrAmam,anupratikrāmam
anuprapAtam,anuprapātam
anuprapAdam,anuprapādam
anubrAhmaRam,anubrāhmaṇam
anuBavam,anubhavam
anuBitti,anubhitti
anuBUya,anubhūya
anumate,anumate
anumarSam,anumarśam
anumAlinItIram,anumālinītīram
anumAzam,anumāṣam
anuyajus,anuyajus
anuyavam,anuyavam
anuyugam,anuyugam
anuyUpam,anuyūpam
anurajju,anurajju
anuraTam,anuratham
anurahasam,anurahasam
anurAtram,anurātram
anurUpatas,anurūpatas
anurUpam,anurūpam
anurUpeRa,anurūpeṇa
anulomam,anulomam
anuvaMSam,anuvaṃśam
anuvatsaram,anuvatsaram
anuvanam,anuvanam
anuvanAntam,anuvanāntam
anuvapram,anuvapram
anuvAte,anuvāte
anuvAram,anuvāram
anuvAsaram,anuvāsaram
anuvizRu,anuviṣṇu
anuvedi,anuvedi
anuvedyantam,anuvedyantam
anuvelam,anuvelam
anuvyam,anuvyam
anuSivam,anuśivam
anuzak,anuṣak
anuzWyA,anuṣṭhyā
anuzvApam,anuṣvāpam
anusaMvatsaram,anusaṃvatsaram
anusaMsarpam,anusaṃsarpam
anusaMhitam,anusaṃhitam
anusakTam,anusaktham
anusanDyam,anusandhyam
anusamudram,anusamudram
anusavanam,anusavanam
anusAtam,anusātam
anusAnu,anusānu
anusAyam,anusāyam
anusAratas,anusāratas
anusItam,anusītam
anusIram,anusīram
anusUpam,anusūpam
anusomam,anusomam
anuskandam,anuskandam
anusneham,anusneham
anuspandyam,anuspandyam
anUci,anūci
anUcInAham,anūcīnāham
anUtsAram,anūtsāram
anUdya,anūdya
anUpasadam,anūpasadam
anfcam,anṛcam
anftu,anṛtu
anekakAlam,anekakālam
anekakAlAvaDi,anekakālāvadhi
anekatra,anekatra
anekaDA,anekadhā
anekavAram,anekavāram
anekaSas,anekaśas
aneva,aneva
anevam,anevam
ano,ano
anovAhyam,anovāhyam
antaHkratu,antaḥkratu
antaHpariDi,antaḥparidhi
antaHpaSu,antaḥpaśu
antaHpAdam,antaḥpādam
antaHpratihAram,antaḥpratihāram
antaHsadas,antaḥsadas
antaHsadasam,antaḥsadasam
antaHsalilam,antaḥsalilam
antaHsAnu,antaḥsānu
antaHsAma,antaḥsāma
antaHsenam,antaḥsenam
antatas,antatas
antam,antam
antar,antar
antaratas,antaratas
antaratas,antaratas
antaram,antaram
antarA,antarā
antarAtmezwakam,antarātmeṣṭakam
antarAntarAt,antarāntarāt
antarAlake,antarālake
antarAle,antarāle
antarASfNgam,antarāśṛṅgam
antare,antare
antareRa,antareṇa
antargfham,antargṛham
antargeham,antargeham
antarjAnu,antarjānu
antardaSAhAt,antardaśāhāt
antarmuKam,antarmukham
antarvaRam,antarvaṇam
antarvAvat,antarvāvat
antarvedi,antarvedi
antarhastam,antarhastam
antarhAsam,antarhāsam
antavat,antavat
antaSas,antaśas
anti,anti
antikam,antikam
antikAt,antikāt
antike,antike
antikena,antikena
antevAsi,antevāsi
annaparyAyam,annaparyāyam
anyataratas,anyataratas
anyataredyus,anyataredyus
anyatas,anyatas
anyatra,anyatra
anyaTA,anyathā
anyaTAkAram,anyathākāram
anyadA,anyadā
anyarhi,anyarhi
anyAyatas,anyāyatas
anyedyus,anyedyus
anyonyatas,anyonyatas
anyonyam,anyonyam
anvak,anvak
anvak,anvak
anvakzam,anvakṣam
anvakzaram,anvakṣaram
anvagBAvam,anvagbhāvam
anvagBUya,anvagbhūya
anvagram,anvagram
anvaNgam,anvaṅgam
anvaDyAyam,anvadhyāyam
anvaByavacAram,anvabhyavacāram
anvayavat,anvayavat
anvaham,anvaham
anvAkSAyam,anvākśāyam
anvAvftam,anvāvṛtam
anvIpam,anvīpam
anvfcam,anvṛcam
apa,apa
apakAmam,apakāmam
apakrAmam,apakrāmam
apawIkzepeRa,apaṭīkṣepeṇa
apataram,apataram
apadakziRam,apadakṣiṇam
apadAntaram,apadāntaram
apadiSam,apadiśam
apamuKam,apamukham
aparatas,aparatas
aparatra,aparatra
aparadakziRam,aparadakṣiṇam
aparam,aparam
aparaSvas,aparaśvas
aparaSvas,aparaśvas
aparANmuKam,aparāṅmukham
aparikrAmam,aparikrāmam
apariBogam,aparibhogam
aparimitakftvas,aparimitakṛtvas
aparimitaDA,aparimitadhā
aparivargam,aparivargam
apariSlaTam,apariślatham
apariskandam,apariskandam
aparihIRakAlam,aparihīṇakālam
apareRa,apareṇa
aparedyus,aparedyus
aparokzam,aparokṣam
aparokzAt,aparokṣāt
apartu,apartu
aparyupya,aparyupya
aparvaRi,aparvaṇi
apalupam,apalupam
apavAritakena,apavāritakena
apavAritam,apavāritam
apavArya,apavārya
apavizRu,apaviṣṇu
apavIRam,apavīṇam
apaSaNkam,apaśaṅkam
apazWu,apaṣṭhu
apasamam,apasamam
apasalavi,apasalavi
apasalEH,apasalaiḥ
apasavyam,apasavyam
apasavyena,apasavyena
apasPigam,apasphigam
apahAya,apahāya
apAk,apāk
apAkAt,apākāt
apIqayA,apīḍayā
apunar,apunar
apUrvavat,apūrvavat
apUrveRa,apūrveṇa
apfTak,apṛthak
apekzayA,apekṣayā
apnavAnavat,apnavānavat
appUrvam,appūrvam
apyarDam,apyardham
aprakawam,aprakaṭam
aprakASam,aprakāśam
apratA,apratā
apratikareRa,apratikareṇa
apratIkzam,apratīkṣam
apramAdam,apramādam
aprayAsena,aprayāsena
apralambam,apralambam
aprAyu,aprāyu
abanDuram,abandhuram
abahir,abahir
abudDipUrvakam,abuddhipūrvakam
abudDipUrvam,abuddhipūrvam
abudDyA,abuddhyā
aBi,abhi
aBikarRakUpam,abhikarṇakūpam
aBikAmam,abhikāmam
aBikfzRam,abhikṛṣṇam
aBiknUyam,abhiknūyam
aBikrAmam,abhikrāmam
aBiGozam,abhighoṣam
aBicEdyam,abhicaidyam
aBicCAyam,abhicchāyam
aBitas,abhitas
aBitas,abhitas
aBitigmaraSmi,abhitigmaraśmi
aBitorAtram,abhitorātram
aBidakziRam,abhidakṣiṇam
aBidUtam,abhidūtam
aBidUti,abhidūti
aBidozam,abhidoṣam
aBiDAyam,abhidhāyam
aBinaBas,abhinabhas
aBinaByam,abhinabhyam
aBinAsikAvivaram,abhināsikāvivaram
aBininartam,abhininartam
aBinivartam,abhinivartam
aBipUrvam,abhipūrvam
aBipUrveRa,abhipūrveṇa
aBipfzWe,abhipṛṣṭhe
aBipradakziRam,abhipradakṣiṇam
aBiprayAyam,abhiprayāyam
aBiprAtar,abhiprātar
aBipriyatamam,abhipriyatamam
aBipretya,abhipretya
aBiBartf,abhibhartṛ
aBimArutam,abhimārutam
aBimuKam,abhimukham
aBimuKe,abhimukhe
aBimuni,abhimuni
aBiraSmimAli,abhiraśmimāli
aBirAmam,abhirāmam
aBirAmam,abhirāmam
aBilakzyam,abhilakṣyam
aBivAtam,abhivātam
aBivAsas,abhivāsas
aBivAhatas,abhivāhatas
aBiviDO,abhividhau
aBivyaktam,abhivyaktam
aBiSaNkitam,abhiśaṅkitam
aBiSatru,abhiśatru
aBiSOri,abhiśauri
aBisaMDipUrvakam,abhisaṃdhipūrvakam
aBisaMsAram,abhisaṃsāram
aBisaMsTam,abhisaṃstham
aBisaMhftya,abhisaṃhṛtya
aBisAyam,abhisāyam
aBiskandam,abhiskandam
aBisTiram,abhisthiram
aBisvayamAtfRRam,abhisvayamātṛṇṇam
aBisvare,abhisvare
aBIke,abhīke
aBIkzRam,abhīkṣṇam
aBIkzRaSas,abhīkṣṇaśas
aBItavat,abhītavat
aBIpatas,abhīpatas
aBIzahA,abhīṣahā
aByagni,abhyagni
aByaDikam,abhyadhikam
aByaDvam,abhyadhvam
aByaDve,abhyadhve
aByantaratas,abhyantaratas
aByantaram,abhyantaram
aByamitram,abhyamitram
aByayoDyam,abhyayodhyam
aByari,abhyari
aByarkabimbam,abhyarkabimbam
aByarDam,abhyardham
aByarDas,abhyardhas
aByAkAram,abhyākāram
aByAkAram,abhyākāram
aByAkrAmam,abhyākrāmam
aByAgAram,abhyāgāram
aByAgAre,abhyāgāre
aByAcAre,abhyācāre
aByAtmataram,abhyātmataram
aByAtmam,abhyātmam
aByAnandya,abhyānandya
aByApAdam,abhyāpādam
aByAram,abhyāram
aByAvartam,abhyāvartam
aByASam,abhyāśam
aByASAt,abhyāśāt
aByASe,abhyāśe
aByujjayini,abhyujjayini
aByudIrite,abhyudīrite
am,am
amatyA,amatyā
amanAk,amanāk
amandam,amandam
amaravat,amaravat
amavat,amavat
amA,amā
amAt,amāt
amAtrayA,amātrayā
amAyayA,amāyayā
amArgeRa,amārgeṇa
amitam,amitam
amiTyA,amithyā
amutas,amutas
amutra,amutra
amutrArTam,amutrārtham
amuTA,amuthā
amudA,amudā
amuyA,amuyā
amurhi,amurhi
amuvat,amuvat
amuzmin,amuṣmin
amfzA,amṛṣā
amRas,amṇas
amBastas,ambhastas
amyak,amyak
ayajuzkam,ayajuṣkam
ayatnAt,ayatnāt
ayatnena,ayatnena
ayaTA,ayathā
ayaTAtaTam,ayathātatham
ayaTAtaTA,ayathātathā
ayaTApuram,ayathāpuram
ayaTApUrvam,ayathāpūrvam
ayaTAbalam,ayathābalam
ayaTAmAtram,ayathāmātram
ayaTAyaTam,ayathāyatham
ayaTArTam,ayathārtham
ayaTAvat,ayathāvat
ayaToktam,ayathoktam
ayA,ayā
ayi,ayi
ayuktam,ayuktam
ayugapad,ayugapad
ayujakAram,ayujakāram
ayutaDA,ayutadhā
ayutaSas,ayutaśas
aye,aye
araRyavat,araṇyavat
aram,aram
aram,aram
arare,arare
arAgadvezatas,arāgadveṣatas
arus,arus
are,are
arere,arere
arGApacayena,arghāpacayena
arjunatas,arjunatas
arTakAraRAt,arthakāraṇāt
arTatas,arthatas
arTavat,arthavat
arTAt,arthāt
arTArTam,arthārtham
arTisAt,arthisāt
arDapaTe,ardhapathe
arDamAsaSas,ardhamāsaśas
arDarcaSas,ardharcaśas
arDaSas,ardhaśas
arDe,ardhe
arpya,arpya
arbudaDA,arbudadhā
arvAk,arvāk
arvAc,arvāc
arvAcInam,arvācīnam
arhaRA,arhaṇā
alaMtarAm,alaṃtarām
alakam,alakam
alaglam,alaglam
alam,alam
alale,alale
aleSam,aleśam
alpakam,alpakam
alpakAt,alpakāt
alpam,alpam
alpaSas,alpaśas
alpAt,alpāt
alpena,alpena
ava,ava
avakASe,avakāśe
avakzAyam,avakṣāyam
avagrAham,avagrāham
avaGrAyam,avaghrāyam
avacakzaRam,avacakṣaṇam
avajYayA,avajñayā
avataram,avataram
avaDi,avadhi
avaDes,avadhes
avapAtam,avapātam
avamarSam,avamarśam
avayavaSas,avayavaśas
avayutyA,avayutyā
avaratas,avaratas
avaraparam,avaraparam
avarastAt,avarastāt
avarArDatas,avarārdhatas
avarArDam,avarārdham
avaruRam,avaruṇam
