root,hom,class,voice,root_IAST
jrI,,9,para,jrī
jrI,,10,para,jrī
jvar,,1,para,jvar
jval,,1,para,jval
JagaJagAya,,denom,atma,jhagajhagāya
Jaw,,1,para,jhaṭ
JaR,,1,para,jhaṇ
JaRaJaRAya,,denom,atma,jhaṇajhaṇāya
Jam,,1,para,jham
Jarc,,1,para,jharc
JarC,,1,para,jharch
JarJ,,1,para,jharjh
Jaz,,1,atma,jhaṣ
Ju,,1,atma,jhu
JUz,,1,para,jhūṣ
JF,,4,para,jhṝ
JF,,9,para,jhṝ
Jyu,,1,atma,jhyu
waNk,,10,para,ṭaṅk
wal,,1,para,ṭal
wik,,1,atma,ṭik
wip,,10,para,ṭip
wIk,,1,atma,ṭīk
wOk,,1,atma,ṭauk
wval,,1,para,ṭval
qap,,10,atma,ḍap
qam,,1,para,ḍam
qamp,,10,atma,ḍamp
qamb,,10,para,ḍamb
qamB,,10,atma,ḍambh
qip,,10,atma,ḍip
qip,,4,para,ḍip
qip,,6,para,ḍip
qip,,10,para,ḍip
qimp,,10,atma,ḍimp
qimp,,4,para,ḍimp
qimp,,6,para,ḍimp
qimp,,10,para,ḍimp
qI,,1,atma,ḍī
qI,,4,atma,ḍī
QOk,,1,atma,ḍhauk
taMs,,1,para,taṃs
tak,,2,para,tak
tak,,1,para,tak
takz,1,1,para,takṣ
takz,1,2,atma,takṣ
takz,1,5,atma,takṣ
taNk,,1,para,taṅk
taNg,,1,para,taṅg
taYc,1,1,para,tañc
taYc,2,7,para,tañc
taw,,1,para,taṭ
tawAya,,denom,atma,taṭāya
taq,,10,para,taḍ
taRq,,1,atma,taṇḍ
tan,1,1,para,tan
tan,1,10,para,tan
tan,2,4,para,tan
tan,3,8,para,tan
tantraya,,denom,atma,tantraya
tand,,1,atma,tand
tandr,,1,para,tandr
tap,1,4,atma,tap
tap,2,1,atma,tap
tap,2,4,atma,tap
tam,,4,atma,tam
tamb,,1,para,tamb
tay,,1,atma,tay
tark,,10,para,tark
tarj,,1,atma,tarj
tard,,1,para,tard
tarb,,1,para,tarb
tal,,1,para,tal
tal,,10,para,tal
tavizIya,,denom,atma,taviṣīya
tas,1,4,para,tas
tAy,,1,atma,tāy
tik,,1,para,tik
tik,,5,para,tik
tig,,5,para,tig
tiG,,5,para,tigh
tij,,1,para,tij
tip,,1,para,tip
tim,,4,para,tim
timiraya,,denom,para,timiraya
timirAya,,denom,atma,timirāya
tiraya,,denom,para,tiraya
til,1,1,para,til
til,2,6,para,til
til,2,10,para,til
tilakaya,,denom,para,tilakaya
till,,1,para,till
tIk,,1,atma,tīk
tIm,,4,para,tīm
tIraya,,denom,para,tīraya
tIv,,1,para,tīv
tu,1,2,para,tu
tucCaya,,denom,para,tucchaya
tuj,2,6,atma,tuj
tuw,,6,para,tuṭ
tuq,,1,para,tuḍ
tuq,,6,para,tuḍ
tuqq,,1,para,tuḍḍ
tuR,,6,para,tuṇ
tuRq,,1,atma,tuṇḍ
tutTaya,,denom,para,tutthaya
tud,1,6,para,tud
tund,,1,para,tund
tup,,1,para,tup
tup,,6,para,tup
tuP,,1,para,tuph
tuP,,6,para,tuph
tuB,,1,para,tubh
tuB,,4,para,tubh
tuB,,9,para,tubh
tump,,1,para,tump
tump,,6,para,tump
tumP,,1,para,tumph
tumP,,6,para,tumph
tumb,,1,para,tumb
tumb,,10,para,tumb
tur,1,6,atma,tur
tur,1,4,atma,tur
turv,,1,para,turv
tul,,10,atma,tul
tuS,1,1,atma,tuś
tuS,2,1,atma,tuś
tuz,,4,para,tuṣ
tus,,1,para,tus
tuh,,1,para,tuh
tuhinaya,,denom,para,tuhinaya
tUq,,1,para,tūḍ
tUR,,10,para,tūṇ
tUl,,1,para,tūl
tUl,,10,para,tūl
tUz,,1,para,tūṣ
tfkz,,1,para,tṛkṣ
tfR,,8,para,tṛṇ
tfd,,7,atma,tṛd
tfp,1,4,atma,tṛp
tfp,1,5,atma,tṛp
tfp,1,6,atma,tṛp
tfp,1,1,atma,tṛp
tfP,,6,para,tṛph
tfmp,,6,para,tṛmp
tfmP,,6,para,tṛmph
tfz,1,4,atma,tṛṣ
tfh,,7,para,tṛh
tfh,,6,para,tṛh
tF,,1,para,tṝ
tF,,5,para,tṝ
tF,,3,para,tṝ
tF,,6,para,tṝ
tep,,1,atma,tep
tev,,1,atma,tev
toq,,1,atma,toḍ
tyaj,1,1,para,tyaj
traMs,,1,para,traṃs
traMs,,10,para,traṃs
traK,,1,para,trakh
trap,,1,para,trap
tras,1,10,para,tras
tras,2,1,atma,tras
tras,2,4,atma,tras
triNK,,1,para,triṅkh
truw,,6,atma,truṭ
truw,,4,atma,truṭ
trup,,1,para,trup
trE,,1,atma,trai
trOk,,1,atma,trauk
tvakz,,1,para,tvakṣ
tvaNg,,1,para,tvaṅg
tvac,1,6,para,tvac
tvaYc,,1,para,tvañc
tvaYc,,7,para,tvañc
tvar,,1,para,tvar
tviz,1,1,atma,tviṣ
tsar,,1,para,tsar
TaraTarAya,,denom,atma,tharatharāya
Tarv,,1,para,tharv
Tuq,,6,para,thuḍ
Turv,,1,para,thurv
daMS,1,1,para,daṃś
daMS,1,10,para,daṃś
daMS,1,10,atma,daṃś
daMS,2,1,atma,daṃś
daMS,2,6,atma,daṃś
daMs,2,10,para,daṃs
daMs,2,1,para,daṃs
daMs,2,10,atma,daṃs
daMh,,10,para,daṃh
dakz,,1,para,dakṣ
daG,,5,para,dagh
daG,,4,para,dagh
daNG,,1,para,daṅgh
dad,,1,para,dad
daD,,1,atma,dadh
danv,,1,para,danv
daB,,1,atma,dabh
daB,,5,atma,dabh
dam,1,4,para,dam
dam,1,9,atma,dam
damadamAya,,denom,atma,damadamāya
damB,,1,atma,dambh
damB,,5,atma,dambh
day,,1,atma,day
dal,,1,para,dal
das,,1,atma,das
das,,4,atma,das
dah,1,1,para,dah
dA,1,3,atma,dā
dA,1,1,atma,dā
dA,4,4,para,dā
dAn,,1,para,dān
dAn,,10,para,dān
dAy,,1,atma,dāy
dAruRAya,,denom,atma,dāruṇāya
dAS,1,1,para,dāś
dAS,1,2,para,dāś
dAS,1,5,para,dāś
dAs,1,1,para,dās
dAs,1,5,para,dās
dAsAya,,denom,atma,dāsāya
dinv,,1,para,dinv
dip,,1,atma,dip
dimp,,10,atma,dimp
dimB,,10,atma,dimbh
div,1,1,para,div
div,1,10,para,div
div,2,4,para,div
diS,1,3,para,diś
dih,1,2,para,dih
dI,1,4,para,dī
dI,2,3,para,dī
dI,3,4,atma,dī
dIkz,,1,atma,dīkṣ
dIDI,1,2,atma,dīdhī
dIDI,2,2,atma,dīdhī
dIp,,4,atma,dīp
dIrGaya,,denom,para,dīrghaya
du,1,1,para,du
du,2,5,para,du
du,2,4,atma,du
duHKaya,,denom,para,duḥkhaya
duHKAya,,denom,atma,duḥkhāya
duHKIya,,denom,para,duḥkhīya
ducCunAya,,denom,atma,ducchunāya
duD,,1,para,dudh
dundumAya,,denom,atma,dundumāya
durv,,1,para,durv
dul,,10,para,dul
duz,2,4,para,duṣ
duzwIya,,denom,para,duṣṭīya
duh,1,1,para,duh
duh,2,2,para,duh
duh,2,6,para,duh
duh,2,4,atma,duh
dU,1,1,para,dū
dU,2,5,para,dū
dU,2,4,atma,dū
dUraya,,denom,para,dūraya
dUzaya,,denom,para,dūṣaya
df,,6,atma,dṛ
dfMh,,1,para,dṛṃh
dfMh,,4,para,dṛṃh
dfMh,,1,atma,dṛṃh
dfQaya,,denom,para,dṛḍhaya
dfp,1,6,para,dṛp
dfp,2,4,para,dṛp
dfP,1,6,para,dṛph
dfB,1,1,para,dṛbh
dfB,1,10,para,dṛbh
dfB,2,6,para,dṛbh
dfS,,1,para,dṛś
dfh,,1,para,dṛh
dfh,,4,para,dṛh
dfh,,1,atma,dṛh
dF,,9,para,dṝ
dF,,2,para,dṝ
de,,1,atma,de
devaya,,denom,para,devaya
devAya,,denom,para,devāya
dE,,1,para,dai
dEtyAya,,denom,atma,daityāya
do,,2,para,do
do,,4,para,do
dolAya,,denom,atma,dolāya
dozAya,,denom,atma,doṣāya
dyu,1,2,para,dyu
dyut,2,1,atma,dyut
dyE,1,1,para,dyai
draQaya,,denom,para,draḍhaya
dram,,1,para,dram
dravaya,,denom,atma,dravaya
draviRIya,,denom,para,draviṇīya
drA,2,2,para,drā
drA,,1,para,drā
drA,,2,para,drā
drAK,,1,para,drākh
drAG,,1,atma,drāgh
drANkz,,1,para,drāṅkṣ
drAq,,1,atma,drāḍ
drAh,,1,atma,drāh
dru,1,5,para,dru
dru,2,1,para,dru
druq,,1,para,druḍ
druq,,6,para,druḍ
druR,,6,para,druṇ
drumAya,,denom,atma,drumāya
drumm,,1,para,drumm
druh,1,4,para,druh
drU,1,9,para,drū
drU,1,5,para,drū
drUq,,1,para,drūḍ
drek,,1,atma,drek
drE,,1,para,drai
drE,,2,para,drai
dvijAya,,denom,atma,dvijāya
dviz,2,2,para,dviṣ
dvf,,1,para,dvṛ
Dakk,,10,para,dhakk
DaR,,1,para,dhaṇ
Dan,1,1,para,dhan
Dan,2,3,para,dhan
DanAya,,denom,atma,dhanāya
DanIya,,denom,para,dhanīya
Danv,,1,para,dhanv
Dam,,1,para,dham
DamaDamAya,,denom,atma,dhamadhamāya
DarmAya,,denom,atma,dharmāya
Dav,,1,atma,dhav
Davalaya,,denom,para,dhavalaya
DavalAya,,denom,atma,dhavalāya
DA,1,3,para,dhā
DA,1,1,para,dhā
DA,1,2,para,dhā
DA,1,4,atma,dhā
DArAya,,denom,atma,dhārāya
DAv,1,1,para,dhāv
DAv,2,1,para,dhāv
Di,1,6,para,dhi
Di,3,5,para,dhi
Dikz,,1,atma,dhikṣ
DiyAya,,denom,atma,dhiyāya
Diz,1,3,para,dhiṣ
DI,1,3,atma,dhī
DI,3,4,atma,dhī
DIkz,,1,atma,dhīkṣ
DIraya,,denom,para,dhīraya
Dukz,,1,atma,dhukṣ
Dunaya,,denom,para,dhunaya
Durv,,1,para,dhurv
DU,1,5,para,dhū
DU,1,6,para,dhū
DU,1,9,para,dhū
DU,1,1,para,dhū
DU,1,2,atma,dhū
DUnaya,,denom,para,dhūnaya
DUpaya,,denom,para,dhūpaya
DUpAya,,denom,para,dhūpāya
DUmaya,,denom,para,dhūmaya
DUmAya,,denom,atma,dhūmāya
DUmraya,,denom,para,dhūmraya
DUr,1,4,atma,dhūr
DUrv,,1,para,dhūrv
DUlaya,,denom,para,dhūlaya
DUS,,10,para,dhūś
DUz,,10,para,dhūṣ
DUs,,10,para,dhūs
Df,,1,para,dhṛ
Dfj,,1,para,dhṛj
DfYj,,1,para,dhṛñj
Dfz,,5,para,dhṛṣ
Dfz,,1,para,dhṛṣ
DF,,9,para,dhṝ
De,,1,para,dhe
Dor,,1,para,dhor
DmA,,1,para,dhmā
DyE,,1,para,dhyai
Draj,,1,para,dhraj
DraYj,,1,para,dhrañj
DraR,,1,para,dhraṇ
Dras,,9,para,dhras
Dras,,10,para,dhras
DrA,,2,para,dhrā
DrA,,1,para,dhrā
Drij,,1,para,dhrij
Dru,1,6,para,dhru
Dru,1,1,para,dhru
Drek,,1,atma,dhrek
DrE,,1,para,dhrai
DvaMs,,1,para,dhvaṃs
Dvaj,1,1,para,dhvaj
DvaYj,1,1,para,dhvañj
DvaR,,1,para,dhvaṇ
Dvan,2,1,para,dhvan
DvANkz,,1,para,dhvāṅkṣ
Dvf,,1,para,dhvṛ
DvraR,,1,para,dhvraṇ
naMS,,1,para,naṃś
nakk,,10,para,nakk
nakz,,1,para,nakṣ
naK,,4,para,nakh
naK,,1,para,nakh
nagarAya,,denom,atma,nagarāya
naNK,,4,para,naṅkh
naNK,,1,para,naṅkh
naj,,6,atma,naj
naw,,1,para,naṭ
naq,1,10,para,naḍ
nad,,1,para,nad
nand,,1,para,nand
naB,1,1,atma,nabh
naB,1,4,para,nabh
naB,1,9,para,nabh
nam,,1,para,nam
namb,,1,para,namb
nay,,1,atma,nay
narakAya,,denom,atma,narakāya
nard,,1,para,nard
narb,,1,para,narb
narmaya,,denom,para,narmaya
nal,,1,para,nal
nal,,10,para,nal
naS,1,1,para,naś
naS,2,4,para,naś
naS,2,1,para,naś
naSAya,,denom,para,naśāya
nas,2,1,atma,nas
nah,1,4,para,nah
nAT,,1,atma,nāth
nAD,,1,atma,nādh
nAyakAya,,denom,atma,nāyakāya
nArAyaRAya,,denom,atma,nārāyaṇāya
nArIya,,denom,atma,nārīya
nAlAya,,denom,atma,nālāya
nAs,1,1,atma,nās
niMs,,2,atma,niṃs
nikz,,1,para,nikṣ
nij,,2,atma,nij
nij,,3,para,nij
niYj,,2,atma,niñj
nind,,1,para,nind
ninv,,1,para,ninv
nibiqaya,,denom,para,nibiḍaya
nimnaya,,denom,para,nimnaya
nil,,6,para,nil
niS,2,1,para,niś
niz,2,1,para,niṣ
nizk,,10,atma,niṣk
nI,2,1,para,nī
nIqaya,,denom,atma,nīḍaya
nIl,,1,para,nīl
nIlAya,,denom,atma,nīlāya
nIv,,1,para,nīv
nu,3,1,atma,nu
nu,4,2,para,nu
nu,4,6,para,nu
nuq,,6,para,nuḍ
nud,,6,para,nud
nU,,2,para,nū
nU,,6,para,nū
nUtanaya,,denom,para,nūtanaya
nft,1,4,para,nṛt
nF,,9,para,nṝ
ned,2,1,para,ned
nedaya,,denom,para,nedaya
nez,,1,atma,neṣ
nyUNKaya,,denom,atma,nyūṅkhaya
nyUnaya,,denom,para,nyūnaya
paMS,,1,para,paṃś
paMS,,10,para,paṃś
paMs,,1,para,paṃs
paMs,,10,para,paṃs
pakz,,1,para,pakṣ
pakz,,10,para,pakṣ
paNkaya,,denom,para,paṅkaya
pac,1,1,para,pac
pac,2,1,para,pac
pac,2,4,atma,pac
paYc,1,1,para,pañc
paw,,1,para,paṭ
pawapawAya,,denom,atma,paṭapaṭāya
pawwAya,,denom,atma,paṭṭāya
paW,,1,para,paṭh
paR,,1,atma,paṇ
paRAya,,denom,atma,paṇāya
paRAya,,denom,atma,paṇāya
paRq,,1,atma,paṇḍ
paRq,,10,para,paṇḍ
paRq,,1,para,paṇḍ
paRqitAya,,denom,atma,paṇḍitāya
pat,1,4,atma,pat
pat,2,1,para,pat
patIya,1,denom,para,patīya
pattraya,,denom,para,pattraya
pattrAya,,denom,atma,pattrāya
paT,,1,para,path
pad,1,1,para,pad
pad,2,4,atma,pad
padmAya,,denom,atma,padmāya
pan,2,1,atma,pan
panAya,,denom,atma,panāya
panT,,1,para,panth
panT,,10,para,panth
pamb,,1,para,pamb
pay,,1,atma,pay
payAya,,denom,atma,payāya
parR,,10,para,parṇ
parRaya,1,denom,para,parṇaya
pard,,1,atma,pard
parp,,1,para,parp
parb,,1,para,parb
paryARaya,,denom,para,paryāṇaya
parv,,1,para,parv
parz,,1,atma,parṣ
pal,,1,para,pal
palpUlaya,,denom,para,palpūlaya
pall,,1,para,pall
pallavaya,,denom,para,pallavaya
pav,,1,atma,pav
pavitraya,,denom,para,pavitraya
paz,,1,para,paṣ
paz,,10,para,paṣ
pas,,1,para,pas
pas,,10,para,pas
pA,1,1,para,pā
pA,1,2,atma,pā
pA,3,2,para,pā
pA,5,3,atma,pā
pAwalaya,,denom,para,pāṭalaya
pARquraya,,denom,para,pāṇḍuraya
pAtraya,,denom,para,pātraya
pAdaya,,denom,para,pādaya
pApaya,,denom,atma,pāpaya
pApAya,,denom,atma,pāpāya
pAy,,1,atma,pāy
pAl,,10,para,pāl
pASaya,,denom,para,pāśaya
pASAya,,denom,atma,pāśāya
pi,1,6,para,pi
pi,,1,atma,pi
pi,,2,atma,pi
pi,,3,para,pi
piMs,,1,para,piṃs
piMs,,10,para,piṃs
picc,,10,para,picc
piC,,10,para,pich
piC,,6,para,pich
piYj,,2,atma,piñj
piYj,,10,para,piñj
piYjaraya,,denom,para,piñjaraya
piw,,1,para,piṭ
piwwaya,,denom,para,piṭṭaya
piW,,1,para,piṭh
piRq,,1,atma,piṇḍ
piRq,,10,para,piṇḍ
pinv,,1,para,pinv
pil,,10,para,pil
piS,1,6,para,piś
piSaNgaya,,denom,para,piśaṅgaya
piSunaya,,denom,para,piśunaya
piz,,7,para,piṣ
pis,,4,para,pis
pI,1,4,atma,pī
pI,2,1,atma,pī
pI,2,2,atma,pī
pI,2,3,para,pī
pIWAya,,denom,atma,pīṭhāya
pIq,,10,para,pīḍ
pIqAya,,denom,atma,pīḍāya
pIy,,1,para,pīy
pIl,,1,para,pīl
puMs,1,10,para,puṃs
puC,,1,para,puch
puYjaya,,denom,para,puñjaya
puw,,6,para,puṭ
puw,,1,para,puṭ
puw,,10,para,puṭ
puww,,10,para,puṭṭ
puq,,6,para,puḍ
puq,,1,para,puḍ
puR,,6,para,puṇ
puR,,10,para,puṇ
puRw,,10,para,puṇṭ
puRq,,1,para,puṇḍ
putrIya,2,denom,para,putrīya
puT,,4,para,puth
punT,,1,para,punth
pur,2,6,para,pur
purIzaya,,denom,para,purīṣaya
puruzAya,,denom,atma,puruṣāya
purv,,1,para,purv
pul,,1,para,pul
pul,,6,para,pul
pul,,10,para,pul
pulakaya,,denom,para,pulakaya
puz,1,4,para,puṣ
puz,2,1,para,puṣ
puz,2,4,para,puṣ
puz,2,9,para,puṣ
puzkarAya,,denom,atma,puṣkarāya
puzpAya,,denom,atma,puṣpāya
pus,,10,para,pus
pust,,10,para,pust
pU,1,9,para,pū
pU,1,1,atma,pū
pUj,,10,para,pūj
pUj,,1,para,pūj
pUR,,10,para,pūṇ
pUtanAya,,denom,para,pūtanāya
pUy,,1,para,pūy
pUrtaya,,denom,para,pūrtaya
pUl,,1,para,pūl
pUl,,10,para,pūl
pUz,,1,para,pūṣ
pf,1,3,para,pṛ
pf,1,9,para,pṛ
pf,2,5,para,pṛ
pf,2,6,atma,pṛ
pfc,1,7,para,pṛc
pfc,1,2,para,pṛc
pfc,1,1,para,pṛc
pfc,1,3,para,pṛc
pfj,,2,atma,pṛj
pfYj,,2,atma,pṛñj
pfq,,6,para,pṛḍ
pfR,,6,para,pṛṇ
pftanAya,,denom,para,pṛtanāya
pfT,1,10,para,pṛth
pfT,2,10,para,pṛth
pfz,,1,para,pṛṣ
pfz,,1,atma,pṛṣ
pF,,9,para,pṝ
pF,,6,para,pṝ
pF,,3,para,pṝ
peR,,1,para,peṇ
peb,,1,atma,peb
pel,,1,para,pel
pel,,10,para,pel
pev,,1,atma,pev
pez,,1,atma,peṣ
pes,,1,para,pes
pE,,1,para,pai
pER,,1,para,paiṇ
poYC,,1,atma,poñch
powAya,,denom,atma,poṭāya
potAya,,denom,atma,potāya
pyAy,,1,atma,pyāy
pyuz,,4,para,pyuṣ
pyuz,,10,para,pyuṣ
pyus,,4,para,pyus
pyE,,1,atma,pyai
praC,,6,para,prach
pratIpaya,,denom,para,pratīpaya
pratIpAya,,denom,atma,pratīpāya
pratyakzaya,,denom,para,pratyakṣaya
pratyakzAya,,denom,atma,pratyakṣāya
pratyayAya,,denom,para,pratyayāya
praT,1,1,atma,prath
praT,2,10,para,prath
praTaya,,denom,para,prathaya
pradakziRaya,,denom,para,pradakṣiṇaya
prabalaya,,denom,para,prabalaya
pramARaya,,denom,para,pramāṇaya
prarzaBIya,,denom,para,prarṣabhīya
pralkArIya,,denom,para,pralkārīya
pravaRaya,,denom,para,pravaṇaya
praSnaya,,denom,para,praśnaya
pras,,1,atma,pras
prA,1,2,para,prā
prArkzIya,,denom,para,prārkṣīya
prArzaBIya,,denom,para,prārṣabhīya
prAsAdIya,1,denom,para,prāsādīya
priyAya,,denom,atma,priyāya
priyIya,,denom,para,priyīya
prI,1,9,para,prī
prI,1,4,atma,prī
prIyAya,,denom,atma,prīyāya
pru,,1,atma,pru
pruT,,1,para,pruth
pruz,1,5,para,pruṣ
pruz,1,10,para,pruṣ
pruz,1,9,para,pruṣ
pruz,1,4,para,pruṣ
pruz,3,1,para,pruṣ
pruzvAya,,denom,atma,pruṣvāya
prekIya,,denom,para,prekīya
prez,1,1,atma,preṣ
prER,,1,para,praiṇ
proGIya,,denom,para,proghīya
proT,,1,para,proth
plakz,,1,para,plakṣ
plab,,1,atma,plab
plav,,1,atma,plav
plih,,1,atma,plih
plI,,9,para,plī
plu,,1,atma,plu
pluz,,1,para,pluṣ
pluz,,4,para,pluṣ
pluz,,9,para,pluṣ
pluzwAya,,denom,atma,pluṣṭāya
plus,,4,para,plus
plev,,1,atma,plev
psA,1,2,para,psā
Pakk,,1,para,phakk
PaR,,1,para,phaṇ
ParParAya,,denom,atma,pharpharāya
Parv,,1,para,pharv
Pal,,1,para,phal
PalAya,,denom,atma,phalāya
PurAPurAya,,denom,atma,phurāphurāya
Pull,,1,para,phull
PenAya,,denom,para,phenāya
Pel,,1,para,phel
baMh,,1,atma,baṃh
bakabakAya,,denom,atma,bakabakāya
bakAya,,denom,para,bakāya
baW,,1,para,baṭh
baR,,1,para,baṇ
bad,,1,para,bad
baDiraya,,denom,para,badhiraya
band,,1,para,band
banD,,9,para,bandh
banD,,1,para,bandh
banD,,4,para,bandh
baBr,,1,para,babhr
bamb,,1,para,bamb
barb,,1,para,barb
barh,,1,atma,barh
barh,,10,para,barh
bal,2,1,para,bal
bal,2,10,para,bal
balaya,,denom,para,balaya
balAya,1,denom,atma,balāya
balh,,1,atma,balh
balh,,10,para,balh
bahaya,,denom,para,bahaya
bAq,,1,atma,bāḍ
bAD,,1,atma,bādh
bAzpAya,,denom,atma,bāṣpāya
biw,,1,para,biṭ
bid,,1,para,bid
bind,,1,para,bind
bil,,6,para,bil
bil,,10,para,bil
biS,,1,para,biś
bis,,4,para,bis
bIB,,1,atma,bībh
bukk,,1,para,bukk
bukk,,10,para,bukk
buNg,,1,para,buṅg
buw,,1,para,buṭ
buw,,10,para,buṭ
buq,,6,para,buḍ
bud,,1,para,bud
buD,,1,para,budh
buD,,4,atma,budh
bund,,1,para,bund
bunD,,10,para,bundh
bul,,10,para,bul
bus,,4,para,bus
bust,,10,para,bust
bfMh,2,1,para,bṛṃh
bfMh,4,1,para,bṛṃh
bfMh,4,10,para,bṛṃh
bfh,1,6,para,bṛh
bfh,2,1,para,bṛh
bfh,4,1,para,bṛh
bfh,4,10,para,bṛh
beS,,1,para,beś
beh,,1,atma,beh
beh,,1,para,beh
brahm,,1,para,brahm
brahmAya,,denom,atma,brahmāya
brU,,2,para,brū
blI,,9,para,blī
BakaBakAya,,denom,atma,bhakabhakāya
Bakz,,10,para,bhakṣ
Bakz,,1,para,bhakṣ
BaNguraya,,denom,para,bhaṅguraya
Baj,,1,para,bhaj
BaYj,1,7,para,bhañj
BaYj,2,10,para,bhañj
Baw,,1,para,bhaṭ
Baw,,10,para,bhaṭ
BawaBawAya,,denom,para,bhaṭabhaṭāya
BaR,,1,para,bhaṇ
BaRw,,10,para,bhaṇṭ
BaRq,,1,atma,bhaṇḍ
BaRq,,1,para,bhaṇḍ
BaRq,,10,para,bhaṇḍ
Ban,,1,para,bhan
Band,,1,atma,bhand
Barts,,10,atma,bharts
Barb,,1,para,bharb
BarB,,1,para,bharbh
Barv,,1,para,bharv
Bal,,1,atma,bhal
Bal,,10,atma,bhal
Ball,,1,atma,bhall
Baz,,1,para,bhaṣ
Bas,1,3,para,bhas
Basmasaya,,denom,para,bhasmasaya
BA,1,2,para,bhā
BAm,,1,atma,bhām
BAm,,10,para,bhām
BArAya,,denom,atma,bhārāya
BArgavAya,,denom,atma,bhārgavāya
BAz,1,1,atma,bhāṣ
BAs,1,1,atma,bhās
BAsAya,,denom,atma,bhāsāya
Bikz,,1,atma,bhikṣ
Bid,1,7,para,bhid
Bid,1,1,para,bhid
BI,1,3,para,bhī
BI,1,1,atma,bhī
BI,1,10,para,bhī
Buj,1,6,para,bhuj
Buj,3,7,para,bhuj
Buj,3,6,para,bhuj
BuRq,,1,atma,bhuṇḍ
BU,1,1,para,bhū
BUmaya,2,denom,para,bhūmaya
BUz,,1,para,bhūṣ
BUzAya,,denom,atma,bhūṣāya
Bf,1,1,para,bhṛ
Bf,1,3,para,bhṛ
Bf,1,2,para,bhṛ
BfMS,,1,para,bhṛṃś
BfMS,,10,para,bhṛṃś
Bfkz,,1,para,bhṛkṣ
BfNgAya,,denom,atma,bhṛṅgāya
Bfj,,1,atma,bhṛj
Bfq,,6,para,bhṛḍ
BfRIya,,denom,atma,bhṛṇīya
BftyAya,,denom,atma,bhṛtyāya
BfS,,4,para,bhṛś
BfS,,6,para,bhṛś
BfSAya,,denom,atma,bhṛśāya
BF,,9,para,bhṝ
Bez,,1,para,bheṣ
Byas,,1,atma,bhyas
BraMS,,1,atma,bhraṃś
BraMS,,4,para,bhraṃś
Brakz,,1,para,bhrakṣ
Brajj,,6,para,bhrajj
BraR,,1,para,bhraṇ
Bram,,1,para,bhram
Bram,,4,para,bhram
BramarAya,,denom,atma,bhramarāya
BramAya,,denom,atma,bhramāya
BraS,,1,atma,bhraś
BraS,,4,para,bhraś
BrAj,1,1,atma,bhrāj
BrAS,,1,atma,bhrāś
BrAS,,4,atma,bhrāś
BrAs,,1,atma,bhrās
BrAs,,4,atma,bhrās
BrI,,9,para,bhrī
Bruq,,6,para,bhruḍ
BrUR,,10,atma,bhrūṇ
Brej,,1,atma,bhrej
Brez,,1,para,bhreṣ
Blakz,,1,para,bhlakṣ
BlAS,,1,atma,bhlāś
BlAS,,4,atma,bhlāś
maMh,,1,atma,maṃh
makamakAya,,denom,atma,makamakāya
makk,,1,atma,makk
makz,1,1,para,makṣ
maK,,1,para,makh
maNk,,1,atma,maṅk
maNK,,1,para,maṅkh
maNg,,1,atma,maṅg
maNG,,1,para,maṅgh
mac,,1,atma,mac
majj,,6,para,majj
maYc,,1,atma,mañc
maYj,,10,para,mañj
maYjaraya,,denom,para,mañjaraya
maW,,1,para,maṭh
maWaya,,denom,para,maṭhaya
maR,,1,para,maṇ
maRIya,,denom,atma,maṇīya
maRw,,10,para,maṇṭ
maRW,,1,atma,maṇṭh
maRq,,1,para,maṇḍ
maRqalaya,,denom,para,maṇḍalaya
maRqalAya,,denom,atma,maṇḍalāya
maT,1,1,para,math
maT,1,9,para,math
maTAya,,denom,para,mathāya
mad,2,4,para,mad
mad,2,1,para,mad
mad,2,3,para,mad
madanAya,,denom,atma,madanāya
madrAya,,denom,atma,madrāya
madrikAya,,denom,atma,madrikāya
maDuraya,,denom,para,madhuraya
man,,8,atma,man
man,,4,atma,man
manAya,,denom,para,manāya
mantr,,10,atma,mantr
manT,1,1,para,manth
manT,1,9,para,manth
mand,1,1,atma,mand
mandaya,,denom,para,mandaya
mandarAya,,denom,para,mandarāya
mandAya,,denom,atma,mandāya
mandraya,,denom,atma,mandraya
maBr,,1,para,mabhr
mamAya,,denom,atma,mamāya
mamb,,1,para,mamb
may,,1,atma,may
marc,,10,para,marc
marj,,1,para,marj
marj,,6,para,marj
marb,,1,para,marb
marmarAya,,denom,atma,marmarāya
marv,,1,para,marv
mal,,1,atma,mal
mal,,10,para,mal
malinaya,,denom,para,malinaya
mall,,1,atma,mall
mav,,1,para,mav
mavy,,1,para,mavy
maS,,1,para,maś
maz,,1,para,maṣ
mas,1,4,para,mas
masfRaya,,denom,para,masṛṇaya
mask,,1,atma,mask
mah,1,1,para,mah
mah,1,10,para,mah
mahIya,,denom,atma,mahīya
mA,2,3,para,mā
mA,3,2,para,mā
mA,3,3,atma,mā
mA,3,4,atma,mā
mAMsIya,,denom,para,māṃsīya
mANkz,,1,para,māṅkṣ
mAq,,1,para,māḍ
mAtaya,,denom,para,mātaya
mAtrIya,,denom,atma,mātrīya
mAn,,1,para,mān
mAn,,10,para,mān
mAnT,,1,para,mānth
mArg,,1,para,mārg
mArg,,10,para,mārg
mArj,,10,para,mārj
mAlaya,1,denom,para,mālaya
mAlIya,1,denom,para,mālīya
mAh,,1,para,māh
