prefixed_root,unprefixed_root,hom,prefixed_root_IAST,unprefixed_root_IAST
Asev,sev,,āsev,sev
Askand,skand,,āskand,skand
AskaB,skaB,,āskabh,skabh
Asku,sku,,āsku,sku
AstuB,stuB,,āstubh,stubh
Astf,stf,,āstṛ,stṛ
AsTA,sTA,,āsthā,sthā
Aspand,spand,,āspand,spand
Aspf,spf,,āspṛ,spṛ
AsPAy,sPAy,,āsphāy,sphāy
Asyand,syand,,āsyand,syand
Asru,sru,,āsru,sru
Asvad,svad,,āsvad,svad
Asvan,svan,,āsvan,svan
Asvid,svid,,āsvid,svid
Ahan,han,,āhan,han
Ahary,hary,,āhary,hary
Ahi,hi,,āhi,hi
AhiMs,hiMs,,āhiṃs,hiṃs
Ahu,hu,,āhu,hu
Ahf,hf,,āhṛ,hṛ
Ahfz,hfz,,āhṛṣ,hṛṣ
Ahvf,hvf,,āhvṛ,hvṛ
Ahve,hve,,āhve,hve
izkf,kf,,iṣkṛ,kṛ
uccak,cak,,uccak,cak
uccaw,caw,,uccaṭ,caṭ
uccar,car,,uccar,car
uccal,cal,,uccal,cal
ucci,ci,,ucci,ci
uccumb,cumb,,uccumb,cumb
ucculump,culump,,ucculump,culump
uccyu,cyu,,uccyu,cyu
ucCaMs,SaMs,,ucchaṃs,śaṃs
ucCad,Cad,,ucchad,chad
ucCal,Sal,,ucchal,śal
ucCAs,SAs,,ucchās,śās
ucCid,Cid,,ucchid,chid
ucCiz,Siz,,ucchiṣ,śiṣ
ucCI,SI,,ucchī,śī
ucCuc,Suc,,ucchuc,śuc
ucCuz,Suz,,ucchuṣ,śuṣ
ucCraT,SraT,,ucchrath,śrath
ucCri,Sri,,ucchri,śri
ucCvaYc,SvaYc,,ucchvañc,śvañc
ucCvas,Svas,,ucchvas,śvas
ucCvi,Svi,,ucchvi,śvi
ujjan,jan,,ujjan,jan
ujjas,jas,,ujjas,jas
ujjAgf,jAgf,,ujjāgṛ,jāgṛ
ujji,ji,,ujji,ji
ujjIv,jIv,,ujjīv,jīv
ujjfmB,jfmB,,ujjṛmbh,jṛmbh
ujjval,jval,,ujjval,jval
uqqI,qI,,uḍḍī,ḍī
utkand,skand,,utkand,skand
utkamp,kamp,,utkamp,kamp
utkal,kal,,utkal,kal
utkal,kal,,utkal,kal
utkalApaya,kal,,utkalāpaya,kal
utkaz,kaz,,utkaṣ,kaṣ
utkas,kas,,utkas,kas
utkAS,kAS,,utkāś,kāś
utkAs,kAs,,utkās,kās
utkIl,kIl,,utkīl,kīl
utkuc,kuc,,utkuc,kuc
utkuw,kuw,,utkuṭ,kuṭ
utkU,kU,,utkū,kū
utkUj,kUj,,utkūj,kūj
utkUrd,kUrd,,utkūrd,kūrd
utkf,kf,,utkṛ,kṛ
utkft,kft,,utkṛt,kṛt
utkft,kft,,utkṛt,kṛt
utkfz,kfz,,utkṛṣ,kṛṣ
utkF,kF,,utkṝ,kṝ
utkFt,kFt,,utkṝt,kṝt
utkxp,kxp,,utkḷp,kḷp
utkram,kram,,utkram,kram
utkruS,kruS,,utkruś,kruś
utkliS,kliS,,utkliś,kliś
utkvaT,kvaT,,utkvath,kvath
utkzip,kzip,,utkṣip,kṣip
utkzvid,kzvid,,utkṣvid,kṣvid
utKac,Kac,,utkhac,khac
utKan,Kan,,utkhan,khan
utKid,Kid,,utkhid,khid
uttakz,takz,,uttakṣ,takṣ
uttan,tan,,uttan,tan
uttap,tap,,uttap,tap
uttam,tam,,uttam,tam
uttamB,stamB,,uttambh,stambh
uttij,tij,,uttij,tij
uttu,tu,,uttu,tu
uttud,tud,,uttud,tud
uttul,tul,,uttul,tul
uttfd,tfd,,uttṛd,tṛd
uttF,tF,,uttṝ,tṝ
uttras,tras,,uttras,tras
utTA,sTA,,utthā,sthā
utpac,pac,,utpac,pac
utpaw,paw,,utpaṭ,paṭ
utpat,pat,,utpat,pat
utpad,pad,,utpad,pad
utpaS,paS,,utpaś,paś
utpA,pA,,utpā,pā
utpA,pA,,utpā,pā
utpIq,pIq,,utpīḍ,pīḍ
utpU,pU,,utpū,pū
utpF,pF,,utpṝ,pṝ
utpyE,pyE,,utpyai,pyai
utpru,pru,,utpru,pru
utprekz,Ikz,,utprekṣ,īkṣ
utplu,plu,,utplu,plu
utPal,Pal,,utphal,phal
utsad,sad,,utsad,sad
utsarj,sarj,,utsarj,sarj
utsah,sah,,utsah,sah
utsi,si,,utsi,si
utsic,sic,,utsic,sic
utsiD,siD,,utsidh,sidh
utsiv,siv,,utsiv,siv
utsU,sU,,utsū,sū
utsf,sf,,utsṛ,sṛ
utsfj,sfj,,utsṛj,sṛj
utsfp,sfp,,utsṛp,sṛp
utsnA,snA,,utsnā,snā
utspfS,spfS,,utspṛś,spṛś
utsmi,smi,,utsmi,smi
udaj,aj,,udaj,aj
udaYc,aYc,,udañc,añc
udaYj,aYj,,udañj,añj
udan,an,,udan,an
udapAs,as,,udapās,as
udaBI,i,,udabhī,i
udarc,arc,,udarc,arc
udard,ard,,udard,ard
udavaso,so,,udavaso,so
udaS,aS,1,udaś,aś
udas,as,2,udas,as
udAkf,kf,1,udākṛ,kṛ
udAgA,gA,1,udāgā,gā
udAcakz,cakz,,udācakṣ,cakṣ
udAcar,car,,udācar,car
udAjan,jan,,udājan,jan
udAtan,tan,,udātan,tan
udAdA,dA,1,udādā,dā
udAdru,dru,2,udādru,dru
udAnI,nI,,udānī,nī
udAp,Ap,,udāp,āp
udAyam,yam,,udāyam,yam
udAyA,yA,,udāyā,yā
udAyu,yu,2,udāyu,yu
udAruh,ruh,,udāruh,ruh
udAvas,vas,5,udāvas,vas
udAvah,vah,,udāvah,vah
udAvraj,vraj,,udāvraj,vraj
udASaMs,SaMs,,udāśaṃs,śaṃs
udAs,As,,udās,ās
udAsTA,sTA,,udāsthā,sthā
udAhan,han,,udāhan,han
udAhf,hf,,udāhṛ,hṛ
udi,i,,udi,i
udIkz,Ikz,,udīkṣ,īkṣ
udIr,Ir,,udīr,īr
udIz,Iz,,udīṣ,īṣ
udukz,ukz,,udukṣ,ukṣ
udubj,ubj,,udubj,ubj
uduz,uz,,uduṣ,uṣ
udUh,Uh,1,udūh,ūh
udf,f,,udṛ,ṛ
udfz,fz,2,udṛṣ,ṛṣ
ude,i,,ude,i
udej,ej,,udej,ej
udgam,gam,,udgam,gam
udgarj,garj,,udgarj,garj
udgal,gal,,udgal,gal
udgA,gA,,udgā,gā
udgAh,gAh,,udgāh,gāh
udgur,gur,,udgur,gur
udguh,guh,,udguh,guh
udgF,gF,,udgṝ,gṝ
udgE,gE,,udgai,gai
udgranT,granT,,udgranth,granth
udgrah,grah,,udgrah,grah
udGuz,Guz,,udghuṣ,ghuṣ
udGfz,Gfz,,udghṛṣ,ghṛṣ
uddA,dA,3,uddā,dā
uddiS,diS,,uddiś,diś
uddih,dih,,uddih,dih
uddIp,dIp,,uddīp,dīp
udduz,duz,,udduṣ,duṣ
uddfMh,dfMh,,uddṛṃh,dṛṃh
uddF,dF,,uddṝ,dṝ
uddyut,dyut,1,uddyut,dyut
uddru,dru,,uddru,dru
udDan,han,,uddhan,han
udDas,has,,uddhas,has
udDA,DA,,uddhā,dhā
udDA,hA,,uddhā,hā
udDI,DI,,uddhī,dhī
udDU,DU,,uddhū,dhū
udDf,Df,,uddhṛ,dhṛ
udDf,hf,,uddhṛ,hṛ
udDfz,hfz,,uddhṛṣ,hṛṣ
udDmA,DmA,,uddhmā,dhmā
udDvaMs,DvaMs,,uddhvaṃs,dhvaṃs
udDve,hve,,uddhve,hve
udbanD,banD,,udbandh,bandh
udbAD,bAD,,udbādh,bādh
udbuD,buD,,udbudh,budh
udbrU,brU,,udbrū,brū
udBarts,Barts,,udbharts,bharts
udBA,BA,,udbhā,bhā
udBAs,BAs,,udbhās,bhās
udBid,Bid,,udbhid,bhid
udBU,BU,,udbhū,bhū
udBf,Bf,,udbhṛ,bhṛ
udBram,Bram,,udbhram,bhram
udyam,yam,,udyam,yam
udyA,yA,,udyā,yā
udyu,yu,2,udyu,yu
udyuj,yuj,,udyuj,yuj
udyuD,yuD,,udyudh,yudh
udraYj,raYj,,udrañj,rañj
udram,ram,,udram,ram
udruc,ruc,,udruc,ruc
udruD,ruD,2,udrudh,rudh
udvad,vad,,udvad,vad
udvaD,vaD,,udvadh,vadh
udvap,vap,2,udvap,vap
udvam,vam,,udvam,vam
udvas,vas,5,udvas,vas
udvah,vah,,udvah,vah
udvA,vA,,udvā,vā
udvAS,vAS,,udvāś,vāś
udviGuz,Guz,,udvighuṣ,ghuṣ
udvicakz,cakz,,udvicakṣ,cakṣ
udvij,vij,,udvij,vij
udvidF,dF,,udvidṝ,dṝ
udvisfj,sfj,,udvisṛj,sṛj
udvIkz,Ikz,,udvīkṣ,īkṣ
udvf,vf,,udvṛ,vṛ
udvfj,vfj,,udvṛj,vṛj
udvft,vft,,udvṛt,vṛt
udvfz,vfz,,udvṛṣ,vṛṣ
udvfh,vfh,,udvṛh,vṛh
udve,ve,,udve,ve
udvep,vep,,udvep,vep
udvell,vell,,udvell,vell
udvezw,vezw,,udveṣṭ,veṣṭ
udvE,vE,,udvai,vai
udvyudas,as,2,udvyudas,as
udvraj,vraj,,udvraj,vraj
unnad,nad,,unnad,nad
unnaB,naB,,unnabh,nabh
unnam,nam,,unnam,nam
unnaS,naS,,unnaś,naś
unnah,nah,,unnah,nah
unniDA,DA,,unnidhā,dhā
unnI,nI,,unnī,nī
unmajj,majj,,unmajj,majj
unmaT,ma,,unmath,ma
unmaTAy,maTAy,,unmathāy,mathāy
unmad,mad,,unmad,mad
unmand,mand,,unmand,mand
unmi,mi,,unmi,mi
unmiz,miz,,unmiṣ,miṣ
unmI,mI,,unmī,mī
unmIl,mIl,,unmīl,mīl
unmuc,muc,,unmuc,muc
unmud,mud,,unmud,mud
unmurC,murC,,unmurch,murch
unmuz,muz,,unmuṣ,muṣ
unmuh,muh,,unmuh,muh
unmfj,mfj,,unmṛj,mṛj
unmfd,mfd,,unmṛd,mṛd
unmfS,mfS,,unmṛś,mṛś
upakf,kf,1,upakṛ,kṛ
upakft,kft,1,upakṛt,kṛt
upakfz,kfz,1,upakṛṣ,kṛṣ
upakF,kF,,upakṝ,kṝ
upakxp,kxp,,upakḷp,kḷp
upakram,kram,,upakram,kram
upakrIq,krIq,,upakrīḍ,krīḍ
upakruS,kruS,,upakruś,kruś
upaklid,klid,,upaklid,klid
upakzar,kzar,,upakṣar,kṣar
upakzi,kzi,2,upakṣi,kṣi
upakzip,kzip,,upakṣip,kṣip
upagam,gam,,upagam,gam
upagA,gA,1,upagā,gā
upagAh,gAh,,upagāh,gāh
upaguh,guh,,upaguh,guh
upagF,gF,1,upagṝ,gṝ
upagF,gF,2,upagṝ,gṝ
upagE,gE,,upagai,gai
upagranT,granT,,upagranth,granth
upagras,gras,,upagras,gras
upagrah,grah,,upagrah,grah
upaGrA,GrA,,upaghrā,ghrā
upacar,car,,upacar,car
upaci,ci,1,upaci,ci
upacft,cft,,upacṛt,cṛt
upacCad,Cad,,upacchad,chad
upacCand,Cand,,upacchand,chand
upacCal,Cal,,upacchal,chal
upajan,jan,,upajan,jan
upajap,jap,,upajap,jap
upaji,ji,,upaji,ji
upajIv,jIv,,upajīv,jīv
upajuz,juz,,upajuṣ,juṣ
upajYA,jYA,,upajñā,jñā
upajri,jri,,upajri,jri
upaQOk,QOk,,upaḍhauk,ḍhauk
upatap,tap,,upatap,tap
upatfd,tfd,,upatṛd,tṛd
upadamB,damB,,upadambh,dambh
upadas,das,,upadas,das
upadah,dah,,upadah,dah
upadA,dA,1,upadā,dā
upadiS,diS,,upadiś,diś
upaduz,duz,,upaduṣ,duṣ
upadfS,dfS,,upadṛś,dṛś
upadru,dru,,upadru,dru
upaDA,DA,,upadhā,dhā
upaDAv,DAv,,upadhāv,dhāv
upaDf,Df,,upadhṛ,dhṛ
upaDfz,Dfz,,upadhṛṣ,dhṛṣ
upaDe,De,,upadhe,dhe
upaDmA,DmA,,upadhmā,dhmā
upanakz,nakz,,upanakṣ,nakṣ
upanam,nam,,upanam,nam
upanah,nah,,upanah,nah
upanAT,nAT,,upanāth,nāth
upaniHSri,Sri,,upaniḥśri,śri
upanikzip,kzip,,upanikṣip,kṣip
upanigam,gam,,upanigam,gam
upanigrah,grah,,upanigrah,grah
upaniDA,DA,,upanidhā,dhā
upanipat,pat,,upanipat,pat
upanipad,pad,,upanipad,pad
upaniplu,plu,,upaniplu,plu
upanibanD,banD,,upanibandh,bandh
upanimajj,majj,,upanimajj,majj
upanimantr,mantr,,upanimantr,mantr
upanimand,mand,,upanimand,mand
upanimreq,mreq,,upanimreḍ,mreḍ
upaniyuj,yuj,,upaniyuj,yuj
upaniruD,ruD,,upanirudh,rudh
upanirvft,vft,,upanirvṛt,vṛt
upanivap,vap,2,upanivap,vap
upaniviS,viS,,upaniviś,viś
upanivf,vf,,upanivṛ,vṛ
upanivft,vft,,upanivṛt,vṛt
upanivezw,vezw,,upaniveṣṭ,veṣṭ
upaniSri,Sri,,upaniśri,śri
upanizad,sad,,upaniṣad,sad
upanizev,sev,,upaniṣev,sev
upanizkram,kram,,upaniṣkram,kram
upanihan,han,,upanihan,han
upanI,nI,,upanī,nī
upanI,i,,upanī,i
upanft,nft,,upanṛt,nṛt
upanyas,as,2,upanyas,as
upanyAcar,car,,upanyācar,car
upanyAplu,plu,,upanyāplu,plu
upapat,pat,,upapat,pat
upapad,pad,,upapad,pad
upaparIkz,Ikz,,upaparīkṣ,īkṣ
upapare,i,,upapare,i
upaparyAvft,vft,,upaparyāvṛt,vṛt
upapfc,pfc,,upapṛc,pṛc
upapF,pF,,upapṝ,pṝ
upapragA,gA,,upapragā,gā
upapraC,praC,,upaprach,prach
upaprajan,jan,,upaprajan,jan
upaprajinv,jinv,,upaprajinv,jinv
upapratigrah,grah,,upapratigrah,grah
upapradA,dA,1,upapradā,dā
upapraBid,Bid,,upaprabhid,bhid
upapraBU,BU,,upaprabhū,bhū
upapraBUz,BUz,,upaprabhūṣ,bhūṣ
upaprayam,yam,,upaprayam,yam
upaprayA,yA,,upaprayā,yā
upapravad,vad,,upapravad,vad
upapravft,vft,,upapravṛt,vṛt
upapravfh,vfh,,upapravṛh,vṛh
upapraSri,Sri,,upapraśri,śri
upaprasad,sad,,upaprasad,sad
upaprasf,sf,,upaprasṛ,sṛ
upaprastf,stf,,upaprastṛ,stṛ
upaprahi,hi,,upaprahi,hi
upaprAp,Ap,,upaprāp,āp
upaprAyA,yA,,upaprāyā,yā
upapre,i,,upapre,i
upaprekz,Ikz,,upaprekṣ,īkṣ
upaprez,iz,,upapreṣ,iṣ
upaplu,plu,,upaplu,plu
upaple,i,,upaple,i
upabanD,banD,,upabandh,bandh
upabfh,bfh,,upabṛh,bṛh
upabrU,brU,,upabrū,brū
upaBaj,Baj,,upabhaj,bhaj
upaBuj,Buj,2,upabhuj,bhuj
upaBU,BU,,upabhū,bhū
upaBUz,BUz,,upabhūṣ,bhūṣ
upaBf,Bf,,upabhṛ,bhṛ
upaBram,Bram,,upabhram,bhram
upamajj,majj,,upamajj,majj
upamaT,maT,,upamath,math
upamad,mad,1,upamad,mad
upamantr,mantr,,upamantr,mantr
upamA,mA,,upamā,mā
upami,mi,1,upami,mi
upamuc,muc,,upamuc,muc
upamfj,mfj,,upamṛj,mṛj
upamfd,mfd,,upamṛd,mṛd
upamluc,mluc,,upamluc,mluc
upayaj,yaj,,upayaj,yaj
upayat,yat,,upayat,yat
upayantr,yantr,,upayantr,yantr
upayam,yam,,upayam,yam
upayA,yA,,upayā,yā
upayuj,yuj,,upayuj,yuj
uparac,rac,,uparac,rac
uparaYj,raYj,,uparañj,rañj
uparaD,raD,,uparadh,radh
uparam,ram,,uparam,ram
uparamB,ramB,,uparambh,rambh
uparuc,ruc,,uparuc,ruc
uparuD,ruD,2,uparudh,rudh
uparuh,ruh,,uparuh,ruh
upalakz,lakz,,upalakṣ,lakṣ
upalaB,laB,,upalabh,labh
upalip,lip,,upalip,lip
upalI,lI,,upalī,lī
upavac,vac,,upavac,vac
upavad,vad,,upavad,vad
upavaD,vaD,,upavadh,vadh
upavap,vap,2,upavap,vap
upavarR,varR,,upavarṇ,varṇ
upavalh,valh,,upavalh,valh
upavas,vas,5,upavas,vas
upavah,vah,,upavah,vah
upavA,vA,,upavā,vā
upaviD,viD,1,upavidh,vidh
upaviS,viS,,upaviś,viś
upaviz,viz,,upaviṣ,viṣ
upavizWA,sTA,,upaviṣṭhā,sthā
upavI,vI,,upavī,vī
upavIkz,Ikz,,upavīkṣ,īkṣ
upavIj,vIj,,upavīj,vīj
upavft,vft,,upavṛt,vṛt
upave,ve,,upave,ve
upavE,vE,,upavai,vai
upavyaD,vyaD,,upavyadh,vyadh
upavye,vye,,upavye,vye
upavraj,vraj,,upavraj,vraj
upaSak,Sak,,upaśak,śak
upaSaNk,SaNk,,upaśaṅk,śaṅk
upaSam,Sam,,upaśam,śam
upaSiNG,SiNG,,upaśiṅgh,śiṅgh
upaSI,SI,,upaśī,śī
upaSuB,SuB,,upaśubh,śubh
upaSuz,Suz,,upaśuṣ,śuṣ
upaScyut,Scyut,,upaścyut,ścyut
upaSram,Sram,,upaśram,śram
upaSri,Sri,,upaśri,śri
upaSru,Sru,,upaśru,śru
upaSliz,Sliz,,upaśliṣ,śliṣ
upasaMkxp,kxp,,upasaṃkḷp,kḷp
upasaMkram,kram,,upasaṃkram,kram
upasaMgam,gam,,upasaṃgam,gam
upasaMgrah,grah,,upasaṃgrah,grah
upasaMcar,car,,upasaṃcar,car
upasaMjan,jan,,upasaṃjan,jan
upasaMtan,tan,,upasaṃtan,tan
upasaMDA,DA,,upasaṃdhā,dhā
upasaMnud,nud,,upasaṃnud,nud
upasaMpad,pad,,upasaṃpad,pad
upasaMparARI,nI,,upasaṃparāṇī,nī
upasaMpraC,praC,,upasaṃprach,prach
upasaMprayA,yA,,upasaṃprayā,yā
upasaMprAp,Ap,,upasaṃprāp,āp
upasaMBid,Bid,,upasaṃbhid,bhid
upasaMyA,yA,,upasaṃyā,yā
upasaMruD,ruD,2,upasaṃrudh,rudh
upasaMruh,ruh,,upasaṃruh,ruh
upasaMviS,viS,,upasaṃviś,viś
upasaMvye,vye,,upasaṃvye,vye
upasaMvraj,vraj,,upasaṃvraj,vraj
upasaMSaMs,SaMs,,upasaṃśaṃs,śaṃs
upasaMSri,Sri,,upasaṃśri,śri
upasaMhf,hf,,upasaṃhṛ,hṛ
upasac,sac,,upasac,sac
upasaYj,saYj,,upasañj,sañj
upasad,sad,,upasad,sad
upasamAkf,kf,1,upasamākṛ,kṛ
upasamADA,DA,,upasamādhā,dhā
upasamAvft,vft,,upasamāvṛt,vṛt
upasamAhf,hf,,upasamāhṛ,hṛ
upasami,i,,upasami,i
upasaminD,inD,,upasamindh,indh
upasamUh,Uh,1,upasamūh,ūh
upasame,i,,upasame,i
upasAD,sAD,,upasādh,sādh
upasic,sic,,upasic,sic
upasiD,siD,2,upasidh,sidh
upasf,sf,,upasṛ,sṛ
upasfj,sfj,,upasṛj,sṛj
upasfp,sfp,,upasṛp,sṛp
upasev,sev,,upasev,sev
upaskamB,skamB,,upaskambh,skambh
upastamB,stamB,,upastambh,stambh
upastu,stu,,upastu,stu
upastf,stf,,upastṛ,stṛ
upasTA,sTA,,upasthā,sthā
upasnih,snih,,upasnih,snih
upaspfS,spfS,,upaspṛś,spṛś
upasmi,smi,,upasmi,smi
upasmf,smf,,upasmṛ,smṛ
upasru,sru,,upasru,sru
upasvf,svf,,upasvṛ,svṛ
upahan,han,,upahan,han
upahas,has,,upahas,has
upahA,hA,2,upahā,hā
upahArIkf,kf,,upahārīkṛ,kṛ
upahiMs,hiMs,,upahiṃs,hiṃs
upahu,hu,,upahu,hu
upahf,hf,,upahṛ,hṛ
upahvf,hvf,,upahvṛ,hvṛ
upahve,hve,,upahve,hve
upAkf,kf,1,upākṛ,kṛ
upAkram,kram,,upākram,kram
upAKyA,KyA,,upākhyā,khyā
upAgam,gam,,upāgam,gam
upAgA,gA,,upāgā,gā
upAGrA,GrA,,upāghrā,ghrā
upAcar,car,,upācar,car
upAj,aj,,upāj,aj
upAYc,aYc,,upāñc,añc
upAYj,aYj,,upāñj,añj
upAtI,i,,upātī,i
upAdA,dA,1,upādā,dā
upAdiS,diS,,upādiś,diś
upAdru,dru,,upādru,dru
upADA,DA,,upādhā,dhā
upADAv,DAv,,upādhāv,dhāv
upADiruh,ruh,,upādhiruh,ruh
upADmA,DmA,,upādhmā,dhmā
upAnI,nI,,upānī,nī
upAnvAruh,ruh,,upānvāruh,ruh
upAp,Ap,,upāp,āp
upApat,pat,,upāpat,pat
upApraC,praC,,upāprach,prach
upABUz,BUz,,upābhūṣ,bhūṣ
upAyA,yA,,upāyā,yā
upAyuj,yuj,,upāyuj,yuj
upAram,ram,,upāram,ram
upArud,rud,,upārud,rud
upAruh,ruh,,upāruh,ruh
upArj,arj,,upārj,arj
upArz,fz,,upārṣ,ṛṣ
upAlaB,laB,,upālabh,labh
upAv,av,,upāv,av
upAvaram,ram,,upāvaram,ram
upAvaruh,ruh,,upāvaruh,ruh
upAvaSri,Sri,,upāvaśri,śri
upAvasfj,sfj,,upāvasṛj,sṛj
upAvasfp,sfp,,upāvasṛp,sṛp
upAvaso,so,,upāvaso,so
upAvah,vah,,upāvah,vah
upAvahf,hf,,upāvahṛ,hṛ
upAviS,viS,,upāviś,viś
upAvft,vft,,upāvṛt,vṛt
upAve,i,,upāve,i
upAvekz,Ikz,,upāvekṣ,īkṣ
upAvraj,vraj,,upāvraj,vraj
upAS,aS,,upāś,aś
upAS,aS,,upāś,aś
upASri,Sri,,upāśri,śri
upAs,as,,upās,as
upAs,as,,upās,as
upAs,As,,upās,ās
upAsad,sad,,upāsad,sad
upAsfj,sfj,,upāsṛj,sṛj
upAstf,stf,,upāstṛ,stṛ
upAsTA,sTA,,upāsthā,sthā
upAhan,han,,upāhan,han
upAhf,hf,,upāhṛ,hṛ
upAhve,hve,,upāhve,hve
upe,i,,upe,i
upe,i,,upe,i
upekz,Ikz,,upekṣ,īkṣ
upen,in,,upen,in
upez,iz,,upeṣ,iṣ
upez,Iz,,upeṣ,īṣ
upez,Iz,,upeṣ,īṣ
upED,eD,,upaidh,edh
upokz,ukz,,upokṣ,ukṣ
upotkram,kram,,upotkram,kram
upotTA,sTA,,upotthā,sthā
upotsad,sad,,upotsad,sad
upotsic,sic,,upotsic,sic
upod,ud,,upod,ud
upodAsfp,sfp,,upodāsṛp,sṛp
upodAhf,hf,,upodāhṛ,hṛ
upodi,i,,upodi,i
upodgrah,grah,,upodgrah,grah
upodDan,han,,upoddhan,han
upodyam,yam,,upodyam,yam
uponnI,nI,,uponnī,nī
upopaDA,DA,,upopadhā,dhā
upopaparAmfS,mfS,,upopaparāmṛś,mṛś
upopaviS,viS,,upopaviś,viś
upoz,uz,,upoṣ,uṣ
upoh,Uh,,upoh,ūh
ullaNG,laNG,,ullaṅgh,laṅgh
ullap,lap,,ullap,lap
ullamb,lamb,,ullamb,lamb
ullal,lal,,ullal,lal
ullas,las,,ullas,las
ulliK,liK,,ullikh,likh
ullih,lih,,ullih,lih
ullI,lI,,ullī,lī
ulluYc,luYc,,ulluñc,luñc
ulluW,luW,,ulluṭh,luṭh
ullup,lup,,ullup,lup
ullU,lU,,ullū,lū
UrDvIkf,kf,,ūrdhvīkṛ,kṛ
e,i,,e,i
ekz,Ikz,,ekṣ,īkṣ
enD,inD,,endh,indh
er,Ir,,er,īr
ez,Iz,,eṣ,īṣ
o,u,,o,u
okz,ukz,,okṣ,ukṣ
opadru,dru,,opadru,dru
grAsapAtrIkf,kf,,grāsapātrīkṛ,kṛ
tiroDA,DA,,tirodhā,dhā
duri,i,,duri,i
niHkzi,kzi,1,niḥkṣi,kṣi
niHSI,SI,,niḥśī,śī
niHSuc,Suc,,niḥśuc,śuc
niHSF,SF,,niḥśṝ,śṝ
niHSvas,Svas,,niḥśvas,śvas
niHzic,sic,,niḥṣic,sic
niHziD,siD,,niḥṣidh,sidh
niHzu,su,,niḥṣu,su
niHzU,sU,,niḥṣū,sū
niHzwan,stan,,niḥṣṭan,stan
niHzWA,sTA,,niḥṣṭhā,sthā
niHzWiv,zWiv,,niḥṣṭhiv,ṣṭhiv
niHzvap,svap,,niḥṣvap,svap
niHsf,sf,,niḥsṛ,sṛ
niHsfj,sfj,,niḥsṛj,sṛj
niHsfp,sfp,,niḥsṛp,sṛp
niHspf,spf,,niḥspṛ,spṛ
niHsPur,sPur,,niḥsphur,sphur
niHsru,sru,,niḥsru,sru
niHsvf,svf,,niḥsvṛ,svṛ
nikam,kam,,nikam,kam
nikUj,kUj,,nikūj,kūj
nikUq,kUq,,nikūḍ,kūḍ
nikUR,kUR,,nikūṇ,kūṇ
nikf,kf,1,nikṛ,kṛ
nikft,kft,1,nikṛt,kṛt
nikfz,kfz,1,nikṛṣ,kṛṣ
nikrand,krand,,nikrand,krand
nikram,kram,,nikram,kram
nikzip,kzip,,nikṣip,kṣip
niKan,Kan,,nikhan,khan
niKid,Kid,,nikhid,khid
nigad,gad,,nigad,gad
nigam,gam,,nigam,gam
nigarh,garh,,nigarh,garh
niguh,guh,,niguh,guh
nigF,gF,2,nigṝ,gṝ
nigE,gE,,nigai,gai
nigranT,granT,,nigranth,granth
nigrah,grah,,nigrah,grah
niGfz,Gfz,2,nighṛṣ,ghṛṣ
nici,ci,2,nici,ci
nicft,cft,,nicṛt,cṛt
nijUrv,jUrv,,nijūrv,jūrv
nitan,tan,,nitan,tan
nitap,tap,,nitap,tap
nitud,tud,,nitud,tud
nituS,tuS,1,nituś,tuś
nitfd,tfd,,nitṛd,tṛd
nitfp,tfp,,nitṛp,tṛp
nidah,dah,,nidah,dah
nidA,dA,4,nidā,dā
nidiS,diS,,nidiś,diś
nidrA,drA,1,nidrā,drā
niDA,DA,1,nidhā,dhā
niDAv,DAv,2,nidhāv,dhāv
niDU,DU,,nidhū,dhū
niDyE,DyE,,nidhyai,dhyai
ninad,nad,,ninad,nad
ninard,nard,,ninard,nard
ninI,nI,,ninī,nī
ninft,nft,,ninṛt,nṛt
nipat,pat,,nipat,pat
nipad,pad,,nipad,pad
nipA,pA,1,nipā,pā
nipA,pA,2,nipā,pā
nipIy,pIy,,nipīy,pīy
nipF,pF,,nipṝ,pṝ
niprahan,han,,niprahan,han
nibanD,banD,,nibandh,bandh
nibAD,bAD,,nibādh,bādh
nibuD,buD,,nibudh,budh
nibfh,bfh,,nibṛh,bṛh
niBaYj,BaYj,,nibhañj,bhañj
niBal,Bal,,nibhal,bhal
niBuj,Buj,1,nibhuj,bhuj
nimajj,majj,,nimajj,majj
nimad,mad,,nimad,mad
niman,man,,niman,man
nimantr,mantr,,nimantr,mantr
nimA,mA,,nimā,mā
nimi,mi,1,nimi,mi
nimiz,miz,,nimiṣ,miṣ
nimih,mih,,nimih,mih
nimIl,mIl,,nimīl,mīl
nimfj,mfj,,nimṛj,mṛj
nimfd,mfd,,nimṛd,mṛd
nime,me,,nime,me
nimyakz,myakz,,nimyakṣ,myakṣ
nimruc,mruc,,nimruc,mruc
nimluc,mluc,,nimluc,mluc
niyat,yat,,niyat,yat
niyantr,yantr,,niyantr,yantr
niyam,yam,,niyam,yam
niyA,yA,,niyā,yā
niyu,yu,2,niyu,yu
niyuj,yuj,,niyuj,yuj
niyuD,yuD,,niyudh,yudh
niraj,aj,,niraj,aj
niraByavekz,Ikz,,nirabhyavekṣ,īkṣ
niram,ram,,niram,ram
nirard,ard,,nirard,ard
niravaday,day,,niravaday,day
niravado,do,,niravado,do
niravaDe,De,,niravadhe,dhe
niravayaj,yaj,,niravayaj,yaj
niravekz,Ikz,,niravekṣ,īkṣ
