form,root,class,person,number,mode,voice,modification,form_IAST,root_IAST
aMSaya,aMSa,denom,2,s,impv,para,,aṃśaya,aṃśa
aMSayata,aMSa,denom,2,p,impv,para,,aṃśayata,aṃśa
aMSayatam,aMSa,denom,2,d,impv,para,,aṃśayatam,aṃśa
aMSayatas,aMSa,denom,3,d,pres,para,,aṃśayatas,aṃśa
aMSayatAm,aMSa,denom,3,d,impv,para,,aṃśayatām,aṃśa
aMSayati,aMSa,denom,3,s,pres,para,,aṃśayati,aṃśa
aMSayatu,aMSa,denom,3,s,impv,para,,aṃśayatu,aṃśa
aMSayaTa,aMSa,denom,2,p,pres,para,,aṃśayatha,aṃśa
aMSayaTas,aMSa,denom,2,d,pres,para,,aṃśayathas,aṃśa
aMSayanti,aMSa,denom,3,p,pres,para,,aṃśayanti,aṃśa
aMSayantu,aMSa,denom,3,p,impv,para,,aṃśayantu,aṃśa
aMSayasi,aMSa,denom,2,s,pres,para,,aṃśayasi,aṃśa
aMSayAni,aMSa,denom,1,s,impv,para,,aṃśayāni,aṃśa
aMSayAma,aMSa,denom,1,p,impv,para,,aṃśayāma,aṃśa
aMSayAmas,aMSa,denom,1,p,pres,para,,aṃśayāmas,aṃśa
aMSayAmi,aMSa,denom,1,s,pres,para,,aṃśayāmi,aṃśa
aMSayAva,aMSa,denom,1,d,impv,para,,aṃśayāva,aṃśa
aMSayAvas,aMSa,denom,1,d,pres,para,,aṃśayāvas,aṃśa
aMSayitA,aMSa,,3,s,pfut,para,,aṃśayitā,aṃśa
aMSayitAras,aMSa,,3,p,pfut,para,,aṃśayitāras,aṃśa
aMSayitArO,aMSa,,3,d,pfut,para,,aṃśayitārau,aṃśa
aMSayitAsi,aMSa,,2,s,pfut,para,,aṃśayitāsi,aṃśa
aMSayitAsTa,aMSa,,2,p,pfut,para,,aṃśayitāstha,aṃśa
aMSayitAsTas,aMSa,,2,d,pfut,para,,aṃśayitāsthas,aṃśa
aMSayitAsmas,aMSa,,1,p,pfut,para,,aṃśayitāsmas,aṃśa
aMSayitAsmi,aMSa,,1,s,pfut,para,,aṃśayitāsmi,aṃśa
aMSayitAsvas,aMSa,,1,d,pfut,para,,aṃśayitāsvas,aṃśa
aMSayizyatas,aMSa,,3,d,sfut,para,,aṃśayiṣyatas,aṃśa
aMSayizyati,aMSa,,3,s,sfut,para,,aṃśayiṣyati,aṃśa
aMSayizyate,aMSa,,3,s,sfut,atma,,aṃśayiṣyate,aṃśa
aMSayizyaTa,aMSa,,2,p,sfut,para,,aṃśayiṣyatha,aṃśa
aMSayizyaTas,aMSa,,2,d,sfut,para,,aṃśayiṣyathas,aṃśa
aMSayizyaDve,aMSa,,2,p,sfut,atma,,aṃśayiṣyadhve,aṃśa
aMSayizyanti,aMSa,,3,p,sfut,para,,aṃśayiṣyanti,aṃśa
aMSayizyante,aMSa,,3,p,sfut,atma,,aṃśayiṣyante,aṃśa
aMSayizyasi,aMSa,,2,s,sfut,para,,aṃśayiṣyasi,aṃśa
aMSayizyase,aMSa,,2,s,sfut,atma,,aṃśayiṣyase,aṃśa
aMSayizyAmas,aMSa,,1,p,sfut,para,,aṃśayiṣyāmas,aṃśa
aMSayizyAmahe,aMSa,,1,p,sfut,atma,,aṃśayiṣyāmahe,aṃśa
aMSayizyAmi,aMSa,,1,s,sfut,para,,aṃśayiṣyāmi,aṃśa
aMSayizyAvas,aMSa,,1,d,sfut,para,,aṃśayiṣyāvas,aṃśa
aMSayizyAvahe,aMSa,,1,d,sfut,atma,,aṃśayiṣyāvahe,aṃśa
aMSayizye,aMSa,,1,s,sfut,atma,,aṃśayiṣye,aṃśa
aMSayizyete,aMSa,,3,d,sfut,atma,,aṃśayiṣyete,aṃśa
aMSayizyeTe,aMSa,,2,d,sfut,atma,,aṃśayiṣyethe,aṃśa
aMSayet,aMSa,denom,3,s,opt,para,,aṃśayet,aṃśa
aMSayeta,aMSa,denom,2,p,opt,para,,aṃśayeta,aṃśa
aMSayetam,aMSa,denom,2,d,opt,para,,aṃśayetam,aṃśa
aMSayetAm,aMSa,denom,3,d,opt,para,,aṃśayetām,aṃśa
aMSayema,aMSa,denom,1,p,opt,para,,aṃśayema,aṃśa
aMSayeyam,aMSa,denom,1,s,opt,para,,aṃśayeyam,aṃśa
aMSayeyur,aMSa,denom,3,p,opt,para,,aṃśayeyur,aṃśa
aMSayeva,aMSa,denom,1,d,opt,para,,aṃśayeva,aṃśa
aMSayes,aMSa,denom,2,s,opt,para,,aṃśayes,aṃśa
akaRqayat,kaRq,10,3,s,ipft,para,,akaṇḍayat,kaṇḍ
akaRqayata,kaRq,10,3,s,ipft,atma,,akaṇḍayata,kaṇḍ
akaRqayatam,kaRq,10,2,d,ipft,para,,akaṇḍayatam,kaṇḍ
akaRqayatAm,kaRq,10,3,d,ipft,para,,akaṇḍayatām,kaṇḍ
akaRqayaTAs,kaRq,10,2,s,ipft,atma,,akaṇḍayathās,kaṇḍ
akaRqayaDvam,kaRq,10,2,p,ipft,atma,,akaṇḍayadhvam,kaṇḍ
akaRqayan,kaRq,10,3,p,ipft,para,,akaṇḍayan,kaṇḍ
akaRqayanta,kaRq,10,3,p,ipft,atma,,akaṇḍayanta,kaṇḍ
akaRqayam,kaRq,10,1,s,ipft,para,,akaṇḍayam,kaṇḍ
akaRqayas,kaRq,10,2,s,ipft,para,,akaṇḍayas,kaṇḍ
akaRqayAma,kaRq,10,1,p,ipft,para,,akaṇḍayāma,kaṇḍ
akaRqayAmahi,kaRq,10,1,p,ipft,atma,,akaṇḍayāmahi,kaṇḍ
akaRqayAva,kaRq,10,1,d,ipft,para,,akaṇḍayāva,kaṇḍ
akaRqayAvahi,kaRq,10,1,d,ipft,atma,,akaṇḍayāvahi,kaṇḍ
akaRqaye,kaRq,10,1,s,ipft,atma,,akaṇḍaye,kaṇḍ
akaRqayetAm,kaRq,10,3,d,ipft,atma,,akaṇḍayetām,kaṇḍ
akaRqayeTAm,kaRq,10,2,d,ipft,atma,,akaṇḍayethām,kaṇḍ
akaRqUyat,kaRqu,denom,3,s,ipft,para,,akaṇḍūyat,kaṇḍu
akaRqUyata,kaRqu,denom,2,p,ipft,para,,akaṇḍūyata,kaṇḍu
akaRqUyatam,kaRqu,denom,2,d,ipft,para,,akaṇḍūyatam,kaṇḍu
akaRqUyatAm,kaRqu,denom,3,d,ipft,para,,akaṇḍūyatām,kaṇḍu
akaRqUyaTAs,kaRqu,denom,2,s,ipft,atma,,akaṇḍūyathās,kaṇḍu
akaRqUyaDvam,kaRqu,denom,2,p,ipft,atma,,akaṇḍūyadhvam,kaṇḍu
akaRqUyan,kaRqu,denom,3,p,ipft,para,,akaṇḍūyan,kaṇḍu
akaRqUyanta,kaRqu,denom,3,p,ipft,atma,,akaṇḍūyanta,kaṇḍu
akaRqUyam,kaRqu,denom,1,s,ipft,para,,akaṇḍūyam,kaṇḍu
akaRqUyas,kaRqu,denom,2,s,ipft,para,,akaṇḍūyas,kaṇḍu
akaRqUyAma,kaRqu,denom,1,p,ipft,para,,akaṇḍūyāma,kaṇḍu
akaRqUyAmahi,kaRqu,denom,1,p,ipft,atma,,akaṇḍūyāmahi,kaṇḍu
akaRqUyAva,kaRqu,denom,1,d,ipft,para,,akaṇḍūyāva,kaṇḍu
akaRqUyAvahi,kaRqu,denom,1,d,ipft,atma,,akaṇḍūyāvahi,kaṇḍu
akaRqUye,kaRqu,denom,1,s,ipft,atma,,akaṇḍūye,kaṇḍu
akaRqUyetAm,kaRqu,denom,3,d,ipft,atma,,akaṇḍūyetām,kaṇḍu
akaRqUyeTAm,kaRqu,denom,2,d,ipft,atma,,akaṇḍūyethām,kaṇḍu
akaRqyata,kaRq,,3,s,ipft,pass,,akaṇḍyata,kaṇḍ
akaRqyaTAs,kaRq,,2,s,ipft,pass,,akaṇḍyathās,kaṇḍ
akaRqyaDvam,kaRq,,2,p,ipft,pass,,akaṇḍyadhvam,kaṇḍ
akaRqyanta,kaRq,,3,p,ipft,pass,,akaṇḍyanta,kaṇḍ
akaRqyAmahi,kaRq,,1,p,ipft,pass,,akaṇḍyāmahi,kaṇḍ
akaRqyAvahi,kaRq,,1,d,ipft,pass,,akaṇḍyāvahi,kaṇḍ
akaRqye,kaRq,,1,s,ipft,pass,,akaṇḍye,kaṇḍ
akaRqyetAm,kaRq,,3,d,ipft,pass,,akaṇḍyetām,kaṇḍ
akaRqyeTAm,kaRq,,2,d,ipft,pass,,akaṇḍyethām,kaṇḍ
akaRvAyata,kaRva,denom,3,s,ipft,atma,,akaṇvāyata,kaṇva
akaRvAyaTAs,kaRva,denom,2,s,ipft,atma,,akaṇvāyathās,kaṇva
akaRvAyaDvam,kaRva,denom,2,p,ipft,atma,,akaṇvāyadhvam,kaṇva
akaRvAyanta,kaRva,denom,3,p,ipft,atma,,akaṇvāyanta,kaṇva
akaRvAyAmahi,kaRva,denom,1,p,ipft,atma,,akaṇvāyāmahi,kaṇva
akaRvAyAvahi,kaRva,denom,1,d,ipft,atma,,akaṇvāyāvahi,kaṇva
akaRvAye,kaRva,denom,1,s,ipft,atma,,akaṇvāye,kaṇva
akaRvAyetAm,kaRva,denom,3,d,ipft,atma,,akaṇvāyetām,kaṇva
akaRvAyeTAm,kaRva,denom,2,d,ipft,atma,,akaṇvāyethām,kaṇva
akatTata,katT,1,3,s,ipft,atma,,akatthata,katth
akatTaTAs,katT,1,2,s,ipft,atma,,akatthathās,katth
akatTaDvam,katT,1,2,p,ipft,atma,,akatthadhvam,katth
akatTanta,katT,1,3,p,ipft,atma,,akatthanta,katth
akatTAmahi,katT,1,1,p,ipft,atma,,akatthāmahi,katth
akatTAvahi,katT,1,1,d,ipft,atma,,akatthāvahi,katth
akatTe,katT,1,1,s,ipft,atma,,akatthe,katth
akatTetAm,katT,1,3,d,ipft,atma,,akatthetām,katth
akatTeTAm,katT,1,2,d,ipft,atma,,akatthethām,katth
akatTyata,katT,,3,s,ipft,pass,,akatthyata,katth
akatTyaTAs,katT,,2,s,ipft,pass,,akatthyathās,katth
akatTyaDvam,katT,,2,p,ipft,pass,,akatthyadhvam,katth
akatTyanta,katT,,3,p,ipft,pass,,akatthyanta,katth
akatTyAmahi,katT,,1,p,ipft,pass,,akatthyāmahi,katth
akatTyAvahi,katT,,1,d,ipft,pass,,akatthyāvahi,katth
akatTye,katT,,1,s,ipft,pass,,akatthye,katth
akatTyetAm,katT,,3,d,ipft,pass,,akatthyetām,katth
akatTyeTAm,katT,,2,d,ipft,pass,,akatthyethām,katth
akaTayat,kaT,10,3,s,ipft,para,,akathayat,kath
akaTayata,kaT,10,3,s,ipft,atma,,akathayata,kath
akaTayatam,kaT,10,2,d,ipft,para,,akathayatam,kath
akaTayatAm,kaT,10,3,d,ipft,para,,akathayatām,kath
akaTayaTAs,kaT,10,2,s,ipft,atma,,akathayathās,kath
akaTayaDvam,kaT,10,2,p,ipft,atma,,akathayadhvam,kath
akaTayan,kaT,10,3,p,ipft,para,,akathayan,kath
akaTayanta,kaT,10,3,p,ipft,atma,,akathayanta,kath
akaTayam,kaT,10,1,s,ipft,para,,akathayam,kath
akaTayas,kaT,10,2,s,ipft,para,,akathayas,kath
akaTayAma,kaT,10,1,p,ipft,para,,akathayāma,kath
akaTayAmahi,kaT,10,1,p,ipft,atma,,akathayāmahi,kath
akaTayAva,kaT,10,1,d,ipft,para,,akathayāva,kath
akaTayAvahi,kaT,10,1,d,ipft,atma,,akathayāvahi,kath
akaTaye,kaT,10,1,s,ipft,atma,,akathaye,kath
akaTayetAm,kaT,10,3,d,ipft,atma,,akathayetām,kath
akaTayeTAm,kaT,10,2,d,ipft,atma,,akathayethām,kath
akaTyata,kaT,,3,s,ipft,pass,,akathyata,kath
akaTyaTAs,kaT,,2,s,ipft,pass,,akathyathās,kath
akaTyaDvam,kaT,,2,p,ipft,pass,,akathyadhvam,kath
akaTyanta,kaT,,3,p,ipft,pass,,akathyanta,kath
akaTyAmahi,kaT,,1,p,ipft,pass,,akathyāmahi,kath
akaTyAvahi,kaT,,1,d,ipft,pass,,akathyāvahi,kath
akaTye,kaT,,1,s,ipft,pass,,akathye,kath
akaTyetAm,kaT,,3,d,ipft,pass,,akathyetām,kath
akaTyeTAm,kaT,,2,d,ipft,pass,,akathyethām,kath
akadarTayat,kadarTa,denom,3,s,ipft,para,,akadarthayat,kadartha
akadarTayata,kadarTa,denom,2,p,ipft,para,,akadarthayata,kadartha
akadarTayatam,kadarTa,denom,2,d,ipft,para,,akadarthayatam,kadartha
akadarTayatAm,kadarTa,denom,3,d,ipft,para,,akadarthayatām,kadartha
akadarTayan,kadarTa,denom,3,p,ipft,para,,akadarthayan,kadartha
akadarTayam,kadarTa,denom,1,s,ipft,para,,akadarthayam,kadartha
akadarTayas,kadarTa,denom,2,s,ipft,para,,akadarthayas,kadartha
akadarTayAma,kadarTa,denom,1,p,ipft,para,,akadarthayāma,kadartha
akadarTayAva,kadarTa,denom,1,d,ipft,para,,akadarthayāva,kadartha
akaniDvam,kan,,2,p,aor,atma,,akanidhvam,kan
akanizata,kan,,3,p,aor,atma,,akaniṣata,kan
akanizAtAm,kan,,3,d,aor,atma,,akaniṣātām,kan
akanizATAm,kan,,2,d,aor,atma,,akaniṣāthām,kan
akanizi,kan,,1,s,aor,atma,,akaniṣi,kan
akanizwa,kan,,3,s,aor,atma,,akaniṣṭa,kan
akanizWAs,kan,,2,s,aor,atma,,akaniṣṭhās,kan
akanizmahi,kan,,1,p,aor,atma,,akaniṣmahi,kan
akanizvahi,kan,,1,d,aor,atma,,akaniṣvahi,kan
akampata,kamp,1,3,s,ipft,atma,,akampata,kamp
akampaTAs,kamp,1,2,s,ipft,atma,,akampathās,kamp
akampaDvam,kamp,1,2,p,ipft,atma,,akampadhvam,kamp
akampanta,kamp,1,3,p,ipft,atma,,akampanta,kamp
akampayat,kamp,,3,s,ipft,para,caus,akampayat,kamp
akampayata,kamp,,3,s,ipft,atma,caus,akampayata,kamp
akampayatam,kamp,,2,d,ipft,para,caus,akampayatam,kamp
akampayatAm,kamp,,3,d,ipft,para,caus,akampayatām,kamp
akampayaTAs,kamp,,2,s,ipft,atma,caus,akampayathās,kamp
akampayaDvam,kamp,,2,p,ipft,atma,caus,akampayadhvam,kamp
akampayan,kamp,,3,p,ipft,para,caus,akampayan,kamp
akampayanta,kamp,,3,p,ipft,atma,caus,akampayanta,kamp
akampayam,kamp,,1,s,ipft,para,caus,akampayam,kamp
akampayas,kamp,,2,s,ipft,para,caus,akampayas,kamp
akampayAma,kamp,,1,p,ipft,para,caus,akampayāma,kamp
akampayAmahi,kamp,,1,p,ipft,atma,caus,akampayāmahi,kamp
akampayAva,kamp,,1,d,ipft,para,caus,akampayāva,kamp
akampayAvahi,kamp,,1,d,ipft,atma,caus,akampayāvahi,kamp
akampaye,kamp,,1,s,ipft,atma,caus,akampaye,kamp
akampayetAm,kamp,,3,d,ipft,atma,caus,akampayetām,kamp
akampayeTAm,kamp,,2,d,ipft,atma,caus,akampayethām,kamp
akampAmahi,kamp,1,1,p,ipft,atma,,akampāmahi,kamp
akampAvahi,kamp,1,1,d,ipft,atma,,akampāvahi,kamp
akampe,kamp,1,1,s,ipft,atma,,akampe,kamp
akampetAm,kamp,1,3,d,ipft,atma,,akampetām,kamp
akampeTAm,kamp,1,2,d,ipft,atma,,akampethām,kamp
akampyata,kamp,,3,s,ipft,pass,,akampyata,kamp
akampyaTAs,kamp,,2,s,ipft,pass,,akampyathās,kamp
akampyaDvam,kamp,,2,p,ipft,pass,,akampyadhvam,kamp
akampyanta,kamp,,3,p,ipft,pass,,akampyanta,kamp
akampyAmahi,kamp,,1,p,ipft,pass,,akampyāmahi,kamp
akampyAvahi,kamp,,1,d,ipft,pass,,akampyāvahi,kamp
akampye,kamp,,1,s,ipft,pass,,akampye,kamp
akampyetAm,kamp,,3,d,ipft,pass,,akampyetām,kamp
akampyeTAm,kamp,,2,d,ipft,pass,,akampyethām,kamp
akar,kf#1,,3,s,aor,para,,akar,kṛ#1
akaram,kf#1,,1,s,aor,para,,akaram,kṛ#1
akaravam,kf#1,8,1,s,ipft,para,,akaravam,kṛ#1
akarizyat,kf#1,,3,s,cond,para,,akariṣyat,kṛ#1
akarizyata,kf#1,,3,s,cond,atma,,akariṣyata,kṛ#1
akarizyatam,kf#1,,2,d,cond,para,,akariṣyatam,kṛ#1
akarizyatAm,kf#1,,3,d,cond,para,,akariṣyatām,kṛ#1
akarizyaTAs,kf#1,,2,s,cond,atma,,akariṣyathās,kṛ#1
akarizyaDvam,kf#1,,2,p,cond,atma,,akariṣyadhvam,kṛ#1
akarizyan,kf#1,,3,p,cond,para,,akariṣyan,kṛ#1
akarizyanta,kf#1,,3,p,cond,atma,,akariṣyanta,kṛ#1
akarizyam,kf#1,,1,s,cond,para,,akariṣyam,kṛ#1
akarizyas,kf#1,,2,s,cond,para,,akariṣyas,kṛ#1
akarizyAma,kf#1,,1,p,cond,para,,akariṣyāma,kṛ#1
akarizyAmahi,kf#1,,1,p,cond,atma,,akariṣyāmahi,kṛ#1
akarizyAva,kf#1,,1,d,cond,para,,akariṣyāva,kṛ#1
akarizyAvahi,kf#1,,1,d,cond,atma,,akariṣyāvahi,kṛ#1
akarizye,kf#1,,1,s,cond,atma,,akariṣye,kṛ#1
akarizyetAm,kf#1,,3,d,cond,atma,,akariṣyetām,kṛ#1
akarizyeTAm,kf#1,,2,d,cond,atma,,akariṣyethām,kṛ#1
akaruRAyata,karuRa,denom,3,s,ipft,atma,,akaruṇāyata,karuṇa
akaruRAyaTAs,karuRa,denom,2,s,ipft,atma,,akaruṇāyathās,karuṇa
akaruRAyaDvam,karuRa,denom,2,p,ipft,atma,,akaruṇāyadhvam,karuṇa
akaruRAyanta,karuRa,denom,3,p,ipft,atma,,akaruṇāyanta,karuṇa
akaruRAyAmahi,karuRa,denom,1,p,ipft,atma,,akaruṇāyāmahi,karuṇa
akaruRAyAvahi,karuRa,denom,1,d,ipft,atma,,akaruṇāyāvahi,karuṇa
akaruRAye,karuRa,denom,1,s,ipft,atma,,akaruṇāye,karuṇa
akaruRAyetAm,karuRa,denom,3,d,ipft,atma,,akaruṇāyetām,karuṇa
akaruRAyeTAm,karuRa,denom,2,d,ipft,atma,,akaruṇāyethām,karuṇa
akarot,kf#1,8,3,s,ipft,para,,akarot,kṛ#1
akaros,kf#1,8,2,s,ipft,para,,akaros,kṛ#1
akarRayat,karRa,denom,3,s,ipft,para,,akarṇayat,karṇa
akarRayata,karRa,denom,2,p,ipft,para,,akarṇayata,karṇa
akarRayatam,karRa,denom,2,d,ipft,para,,akarṇayatam,karṇa
akarRayatAm,karRa,denom,3,d,ipft,para,,akarṇayatām,karṇa
akarRayan,karRa,denom,3,p,ipft,para,,akarṇayan,karṇa
akarRayam,karRa,denom,1,s,ipft,para,,akarṇayam,karṇa
akarRayas,karRa,denom,2,s,ipft,para,,akarṇayas,karṇa
akarRayAma,karRa,denom,1,p,ipft,para,,akarṇayāma,karṇa
akarRayAva,karRa,denom,1,d,ipft,para,,akarṇayāva,karṇa
akartiDvam,kft#1,,2,p,aor,atma,,akartidhvam,kṛt#1
akartizata,kft#1,,3,p,aor,atma,,akartiṣata,kṛt#1
akartizam,kft#1,,1,s,aor,para,,akartiṣam,kṛt#1
akartizAtAm,kft#1,,3,d,aor,atma,,akartiṣātām,kṛt#1
akartizATAm,kft#1,,2,d,aor,atma,,akartiṣāthām,kṛt#1
akartizi,kft#1,,1,s,aor,atma,,akartiṣi,kṛt#1
akartizur,kft#1,,3,p,aor,para,,akartiṣur,kṛt#1
akartizwa,kft#1,,3,s,aor,atma,,akartiṣṭa,kṛt#1
akartizwam,kft#1,,2,d,aor,para,,akartiṣṭam,kṛt#1
akartizwAm,kft#1,,3,d,aor,para,,akartiṣṭām,kṛt#1
akartizWAs,kft#1,,2,s,aor,atma,,akartiṣṭhās,kṛt#1
akartizma,kft#1,,1,p,aor,para,,akartiṣma,kṛt#1
akartizmahi,kft#1,,1,p,aor,atma,,akartiṣmahi,kṛt#1
akartizva,kft#1,,1,d,aor,para,,akartiṣva,kṛt#1
akartizvahi,kft#1,,1,d,aor,atma,,akartiṣvahi,kṛt#1
akartIt,kft#1,,3,s,aor,para,,akartīt,kṛt#1
akartIs,kft#1,,2,s,aor,para,,akartīs,kṛt#1
akartrIyat,kartf,denom,3,s,ipft,para,,akartrīyat,kartṛ
akartrIyata,kartf,denom,2,p,ipft,para,,akartrīyata,kartṛ
akartrIyatam,kartf,denom,2,d,ipft,para,,akartrīyatam,kartṛ
akartrIyatAm,kartf,denom,3,d,ipft,para,,akartrīyatām,kartṛ
akartrIyan,kartf,denom,3,p,ipft,para,,akartrīyan,kartṛ
akartrIyam,kartf,denom,1,s,ipft,para,,akartrīyam,kartṛ
akartrIyas,kartf,denom,2,s,ipft,para,,akartrīyas,kartṛ
akartrIyAma,kartf,denom,1,p,ipft,para,,akartrīyāma,kartṛ
akartrIyAva,kartf,denom,1,d,ipft,para,,akartrīyāva,kartṛ
akarSayat,kfS,,3,s,ipft,para,caus,akarśayat,kṛś
akarSayata,kfS,,3,s,ipft,atma,caus,akarśayata,kṛś
akarSayatam,kfS,,2,d,ipft,para,caus,akarśayatam,kṛś
akarSayatAm,kfS,,3,d,ipft,para,caus,akarśayatām,kṛś
akarSayaTAs,kfS,,2,s,ipft,atma,caus,akarśayathās,kṛś
akarSayaDvam,kfS,,2,p,ipft,atma,caus,akarśayadhvam,kṛś
akarSayan,kfS,,3,p,ipft,para,caus,akarśayan,kṛś
akarSayanta,kfS,,3,p,ipft,atma,caus,akarśayanta,kṛś
akarSayam,kfS,,1,s,ipft,para,caus,akarśayam,kṛś
akarSayas,kfS,,2,s,ipft,para,caus,akarśayas,kṛś
akarSayAma,kfS,,1,p,ipft,para,caus,akarśayāma,kṛś
akarSayAmahi,kfS,,1,p,ipft,atma,caus,akarśayāmahi,kṛś
akarSayAva,kfS,,1,d,ipft,para,caus,akarśayāva,kṛś
akarSayAvahi,kfS,,1,d,ipft,atma,caus,akarśayāvahi,kṛś
akarSaye,kfS,,1,s,ipft,atma,caus,akarśaye,kṛś
akarSayetAm,kfS,,3,d,ipft,atma,caus,akarśayetām,kṛś
akarSayeTAm,kfS,,2,d,ipft,atma,caus,akarśayethām,kṛś
akarSyata,kfS,,3,s,ipft,pass,caus,akarśyata,kṛś
akarSyaTAs,kfS,,2,s,ipft,pass,caus,akarśyathās,kṛś
akarSyaDvam,kfS,,2,p,ipft,pass,caus,akarśyadhvam,kṛś
akarSyanta,kfS,,3,p,ipft,pass,caus,akarśyanta,kṛś
akarSyAmahi,kfS,,1,p,ipft,pass,caus,akarśyāmahi,kṛś
akarSyAvahi,kfS,,1,d,ipft,pass,caus,akarśyāvahi,kṛś
akarSye,kfS,,1,s,ipft,pass,caus,akarśye,kṛś
akarSyetAm,kfS,,3,d,ipft,pass,caus,akarśyetām,kṛś
akarSyeTAm,kfS,,2,d,ipft,pass,caus,akarśyethām,kṛś
akarzat,kfz,1,3,s,ipft,para,,akarṣat,kṛṣ
akarzata,kfz,1,2,p,ipft,para,,akarṣata,kṛṣ
akarzatam,kfz,1,2,d,ipft,para,,akarṣatam,kṛṣ
akarzatAm,kfz,1,3,d,ipft,para,,akarṣatām,kṛṣ
akarzan,kfz,1,3,p,ipft,para,,akarṣan,kṛṣ
akarzam,kfz,1,1,s,ipft,para,,akarṣam,kṛṣ
akarzayat,kfz,,3,s,ipft,para,caus,akarṣayat,kṛṣ
akarzayata,kfz,,3,s,ipft,atma,caus,akarṣayata,kṛṣ
akarzayatam,kfz,,2,d,ipft,para,caus,akarṣayatam,kṛṣ
akarzayatAm,kfz,,3,d,ipft,para,caus,akarṣayatām,kṛṣ
akarzayaTAs,kfz,,2,s,ipft,atma,caus,akarṣayathās,kṛṣ
akarzayaDvam,kfz,,2,p,ipft,atma,caus,akarṣayadhvam,kṛṣ
akarzayan,kfz,,3,p,ipft,para,caus,akarṣayan,kṛṣ
akarzayanta,kfz,,3,p,ipft,atma,caus,akarṣayanta,kṛṣ
akarzayam,kfz,,1,s,ipft,para,caus,akarṣayam,kṛṣ
akarzayas,kfz,,2,s,ipft,para,caus,akarṣayas,kṛṣ
akarzayAma,kfz,,1,p,ipft,para,caus,akarṣayāma,kṛṣ
akarzayAmahi,kfz,,1,p,ipft,atma,caus,akarṣayāmahi,kṛṣ
akarzayAva,kfz,,1,d,ipft,para,caus,akarṣayāva,kṛṣ
akarzayAvahi,kfz,,1,d,ipft,atma,caus,akarṣayāvahi,kṛṣ
akarzaye,kfz,,1,s,ipft,atma,caus,akarṣaye,kṛṣ
akarzayetAm,kfz,,3,d,ipft,atma,caus,akarṣayetām,kṛṣ
akarzayeTAm,kfz,,2,d,ipft,atma,caus,akarṣayethām,kṛṣ
akarzas,kfz,1,2,s,ipft,para,,akarṣas,kṛṣ
akarzAma,kfz,1,1,p,ipft,para,,akarṣāma,kṛṣ
akarzAva,kfz,1,1,d,ipft,para,,akarṣāva,kṛṣ
akarzyata,kfz,,3,s,ipft,pass,caus,akarṣyata,kṛṣ
akarzyaTAs,kfz,,2,s,ipft,pass,caus,akarṣyathās,kṛṣ
akarzyaDvam,kfz,,2,p,ipft,pass,caus,akarṣyadhvam,kṛṣ
akarzyanta,kfz,,3,p,ipft,pass,caus,akarṣyanta,kṛṣ
akarzyAmahi,kfz,,1,p,ipft,pass,caus,akarṣyāmahi,kṛṣ
akarzyAvahi,kfz,,1,d,ipft,pass,caus,akarṣyāvahi,kṛṣ
akarzye,kfz,,1,s,ipft,pass,caus,akarṣye,kṛṣ
akarzyetAm,kfz,,3,d,ipft,pass,caus,akarṣyetām,kṛṣ
akarzyeTAm,kfz,,2,d,ipft,pass,caus,akarṣyethām,kṛṣ
akalaNkayat,kalaNka,denom,3,s,ipft,para,,akalaṅkayat,kalaṅka
akalaNkayata,kalaNka,denom,2,p,ipft,para,,akalaṅkayata,kalaṅka
akalaNkayatam,kalaNka,denom,2,d,ipft,para,,akalaṅkayatam,kalaṅka
akalaNkayatAm,kalaNka,denom,3,d,ipft,para,,akalaṅkayatām,kalaṅka
akalaNkayan,kalaNka,denom,3,p,ipft,para,,akalaṅkayan,kalaṅka
akalaNkayam,kalaNka,denom,1,s,ipft,para,,akalaṅkayam,kalaṅka
akalaNkayas,kalaNka,denom,2,s,ipft,para,,akalaṅkayas,kalaṅka
akalaNkayAma,kalaNka,denom,1,p,ipft,para,,akalaṅkayāma,kalaṅka
akalaNkayAva,kalaNka,denom,1,d,ipft,para,,akalaṅkayāva,kalaṅka
akalayat,kal,10,3,s,ipft,para,,akalayat,kal
akalayata,kal,10,3,s,ipft,atma,,akalayata,kal
akalayatam,kal,10,2,d,ipft,para,,akalayatam,kal
akalayatAm,kal,10,3,d,ipft,para,,akalayatām,kal
akalayaTAs,kal,10,2,s,ipft,atma,,akalayathās,kal
akalayaDvam,kal,10,2,p,ipft,atma,,akalayadhvam,kal
akalayan,kal,10,3,p,ipft,para,,akalayan,kal
akalayanta,kal,10,3,p,ipft,atma,,akalayanta,kal
akalayam,kal,10,1,s,ipft,para,,akalayam,kal
akalayas,kal,10,2,s,ipft,para,,akalayas,kal
akalayAma,kal,10,1,p,ipft,para,,akalayāma,kal
akalayAmahi,kal,10,1,p,ipft,atma,,akalayāmahi,kal
akalayAva,kal,10,1,d,ipft,para,,akalayāva,kal
akalayAvahi,kal,10,1,d,ipft,atma,,akalayāvahi,kal
akalaye,kal,10,1,s,ipft,atma,,akalaye,kal
akalayetAm,kal,10,3,d,ipft,atma,,akalayetām,kal
akalayeTAm,kal,10,2,d,ipft,atma,,akalayethām,kal
akalahAyata,kalaha,denom,3,s,ipft,atma,,akalahāyata,kalaha
