form_slp1,form_iast,stem_slp1,stem_iast,tense,voice,person,number,class,derivation
aMSaya,aṃśaya,aMSa,aṃśa,imperative,active,2,sg,11,primary
aMSayata,aṃśayata,aMSa,aṃśa,imperative,active,2,pl,11,primary
aMSayatam,aṃśayatam,aMSa,aṃśa,imperative,active,2,du,11,primary
aMSayatas,aṃśayatas,aMSa,aṃśa,present,active,3,du,11,primary
aMSayatAm,aṃśayatām,aMSa,aṃśa,imperative,active,3,du,11,primary
aMSayati,aṃśayati,aMSa,aṃśa,present,active,3,sg,11,primary
aMSayatu,aṃśayatu,aMSa,aṃśa,imperative,active,3,sg,11,primary
aMSayate,aṃśayate,aMSa,aṃśa,present,middle,3,sg,11,primary
aMSayaTa,aṃśayatha,aMSa,aṃśa,present,active,2,pl,11,primary
aMSayaTas,aṃśayathas,aMSa,aṃśa,present,active,2,du,11,primary
aMSayaDvam,aṃśayadhvam,aMSa,aṃśa,imperative,middle,2,pl,11,primary
aMSayaDve,aṃśayadhve,aMSa,aṃśa,present,middle,2,pl,11,primary
aMSayantAm,aṃśayantām,aMSa,aṃśa,imperative,middle,3,pl,11,primary
aMSayanti,aṃśayanti,aMSa,aṃśa,present,active,3,pl,11,primary
aMSayantu,aṃśayantu,aMSa,aṃśa,imperative,active,3,pl,11,primary
aMSayante,aṃśayante,aMSa,aṃśa,present,middle,3,pl,11,primary
aMSayasi,aṃśayasi,aMSa,aṃśa,present,active,2,sg,11,primary
aMSayase,aṃśayase,aMSa,aṃśa,present,middle,2,sg,11,primary
aMSayasva,aṃśayasva,aMSa,aṃśa,imperative,middle,2,sg,11,primary
aMSayAni,aṃśayāni,aMSa,aṃśa,imperative,active,1,sg,11,primary
aMSayAma,aṃśayāma,aMSa,aṃśa,imperative,active,1,pl,11,primary
aMSayAmas,aṃśayāmas,aMSa,aṃśa,present,active,1,pl,11,primary
aMSayAmahe,aṃśayāmahe,aMSa,aṃśa,present,middle,1,pl,11,primary
aMSayAmahE,aṃśayāmahai,aMSa,aṃśa,imperative,middle,1,pl,11,primary
aMSayAmi,aṃśayāmi,aMSa,aṃśa,present,active,1,sg,11,primary
aMSayAva,aṃśayāva,aMSa,aṃśa,imperative,active,1,du,11,primary
aMSayAvas,aṃśayāvas,aMSa,aṃśa,present,active,1,du,11,primary
aMSayAvahe,aṃśayāvahe,aMSa,aṃśa,present,middle,1,du,11,primary
aMSayAvahE,aṃśayāvahai,aMSa,aṃśa,imperative,middle,1,du,11,primary
aMSayitA,aṃśayitā,aMSa,aṃśa,periphrastic_future,active,3,sg,,primary
aMSayitAras,aṃśayitāras,aMSa,aṃśa,periphrastic_future,active,3,pl,,primary
aMSayitArO,aṃśayitārau,aMSa,aṃśa,periphrastic_future,active,3,du,,primary
aMSayitAsi,aṃśayitāsi,aMSa,aṃśa,periphrastic_future,active,2,sg,,primary
aMSayitAsTa,aṃśayitāstha,aMSa,aṃśa,periphrastic_future,active,2,pl,,primary
aMSayitAsTas,aṃśayitāsthas,aMSa,aṃśa,periphrastic_future,active,2,du,,primary
aMSayitAsmas,aṃśayitāsmas,aMSa,aṃśa,periphrastic_future,active,1,pl,,primary
aMSayitAsmi,aṃśayitāsmi,aMSa,aṃśa,periphrastic_future,active,1,sg,,primary
aMSayitAsvas,aṃśayitāsvas,aMSa,aṃśa,periphrastic_future,active,1,du,,primary
aMSayizyatas,aṃśayiṣyatas,aMSa,aṃśa,future,active,3,du,,primary
aMSayizyati,aṃśayiṣyati,aMSa,aṃśa,future,active,3,sg,,primary
aMSayizyate,aṃśayiṣyate,aMSa,aṃśa,future,middle,3,sg,,primary
aMSayizyaTa,aṃśayiṣyatha,aMSa,aṃśa,future,active,2,pl,,primary
aMSayizyaTas,aṃśayiṣyathas,aMSa,aṃśa,future,active,2,du,,primary
aMSayizyaDve,aṃśayiṣyadhve,aMSa,aṃśa,future,middle,2,pl,,primary
aMSayizyanti,aṃśayiṣyanti,aMSa,aṃśa,future,active,3,pl,,primary
aMSayizyante,aṃśayiṣyante,aMSa,aṃśa,future,middle,3,pl,,primary
aMSayizyasi,aṃśayiṣyasi,aMSa,aṃśa,future,active,2,sg,,primary
aMSayizyase,aṃśayiṣyase,aMSa,aṃśa,future,middle,2,sg,,primary
aMSayizyAmas,aṃśayiṣyāmas,aMSa,aṃśa,future,active,1,pl,,primary
aMSayizyAmahe,aṃśayiṣyāmahe,aMSa,aṃśa,future,middle,1,pl,,primary
aMSayizyAmi,aṃśayiṣyāmi,aMSa,aṃśa,future,active,1,sg,,primary
aMSayizyAvas,aṃśayiṣyāvas,aMSa,aṃśa,future,active,1,du,,primary
aMSayizyAvahe,aṃśayiṣyāvahe,aMSa,aṃśa,future,middle,1,du,,primary
aMSayizye,aṃśayiṣye,aMSa,aṃśa,future,middle,1,sg,,primary
aMSayizyete,aṃśayiṣyete,aMSa,aṃśa,future,middle,3,du,,primary
aMSayizyeTe,aṃśayiṣyethe,aMSa,aṃśa,future,middle,2,du,,primary
aMSaye,aṃśaye,aMSa,aṃśa,present,middle,1,sg,11,primary
aMSayet,aṃśayet,aMSa,aṃśa,optative,active,3,sg,11,primary
aMSayeta,aṃśayeta,aMSa,aṃśa,optative,active,2,pl,11,primary
aMSayetam,aṃśayetam,aMSa,aṃśa,optative,active,2,du,11,primary
aMSayetAm,aṃśayetām,aMSa,aṃśa,optative,active,3,du,11,primary
aMSayete,aṃśayete,aMSa,aṃśa,present,middle,3,du,11,primary
aMSayeTAm,aṃśayethām,aMSa,aṃśa,imperative,middle,2,du,11,primary
aMSayeTAs,aṃśayethās,aMSa,aṃśa,optative,middle,2,sg,11,primary
aMSayeTe,aṃśayethe,aMSa,aṃśa,present,middle,2,du,11,primary
aMSayeDvam,aṃśayedhvam,aMSa,aṃśa,optative,middle,2,pl,11,primary
aMSayema,aṃśayema,aMSa,aṃśa,optative,active,1,pl,11,primary
aMSayemahi,aṃśayemahi,aMSa,aṃśa,optative,middle,1,pl,11,primary
aMSayeya,aṃśayeya,aMSa,aṃśa,optative,middle,1,sg,11,primary
aMSayeyam,aṃśayeyam,aMSa,aṃśa,optative,active,1,sg,11,primary
aMSayeyAtAm,aṃśayeyātām,aMSa,aṃśa,optative,middle,3,du,11,primary
aMSayeyATAm,aṃśayeyāthām,aMSa,aṃśa,optative,middle,2,du,11,primary
aMSayeyur,aṃśayeyur,aMSa,aṃśa,optative,active,3,pl,11,primary
aMSayeran,aṃśayeran,aMSa,aṃśa,optative,middle,3,pl,11,primary
aMSayeva,aṃśayeva,aMSa,aṃśa,optative,active,1,du,11,primary
aMSayevahi,aṃśayevahi,aMSa,aṃśa,optative,middle,1,du,11,primary
aMSayes,aṃśayes,aMSa,aṃśa,optative,active,2,sg,11,primary
aMSayE,aṃśayai,aMSa,aṃśa,imperative,middle,1,sg,11,primary
aMSyatAm,aṃśyatām,aMSa,aṃśa,imperative,passive,3,sg,,primary
aMSyate,aṃśyate,aMSa,aṃśa,present,passive,3,sg,,primary
aMSyaDvam,aṃśyadhvam,aMSa,aṃśa,imperative,passive,2,pl,,primary
aMSyaDve,aṃśyadhve,aMSa,aṃśa,present,passive,2,pl,,primary
aMSyantAm,aṃśyantām,aMSa,aṃśa,imperative,passive,3,pl,,primary
aMSyante,aṃśyante,aMSa,aṃśa,present,passive,3,pl,,primary
aMSyase,aṃśyase,aMSa,aṃśa,present,passive,2,sg,,primary
aMSyasva,aṃśyasva,aMSa,aṃśa,imperative,passive,2,sg,,primary
aMSyAmahe,aṃśyāmahe,aMSa,aṃśa,present,passive,1,pl,,primary
aMSyAmahE,aṃśyāmahai,aMSa,aṃśa,imperative,passive,1,pl,,primary
aMSyAvahe,aṃśyāvahe,aMSa,aṃśa,present,passive,1,du,,primary
aMSyAvahE,aṃśyāvahai,aMSa,aṃśa,imperative,passive,1,du,,primary
aMSye,aṃśye,aMSa,aṃśa,present,passive,1,sg,,primary
aMSyeta,aṃśyeta,aMSa,aṃśa,optative,passive,3,sg,,primary
aMSyetAm,aṃśyetām,aMSa,aṃśa,imperative,passive,3,du,,primary
aMSyete,aṃśyete,aMSa,aṃśa,present,passive,3,du,,primary
aMSyeTAm,aṃśyethām,aMSa,aṃśa,imperative,passive,2,du,,primary
aMSyeTAs,aṃśyethās,aMSa,aṃśa,optative,passive,2,sg,,primary
aMSyeTe,aṃśyethe,aMSa,aṃśa,present,passive,2,du,,primary
aMSyeDvam,aṃśyedhvam,aMSa,aṃśa,optative,passive,2,pl,,primary
aMSyemahi,aṃśyemahi,aMSa,aṃśa,optative,passive,1,pl,,primary
aMSyeya,aṃśyeya,aMSa,aṃśa,optative,passive,1,sg,,primary
aMSyeyAtAm,aṃśyeyātām,aMSa,aṃśa,optative,passive,3,du,,primary
aMSyeyATAm,aṃśyeyāthām,aMSa,aṃśa,optative,passive,2,du,,primary
aMSyeran,aṃśyeran,aMSa,aṃśa,optative,passive,3,pl,,primary
aMSyevahi,aṃśyevahi,aMSa,aṃśa,optative,passive,1,du,,primary
aMSyE,aṃśyai,aMSa,aṃśa,imperative,passive,1,sg,,primary
akacyata,akacyata,kaYc,kañc,imperfect,passive,3,sg,,primary
akacyaTAs,akacyathās,kaYc,kañc,imperfect,passive,2,sg,,primary
akacyaDvam,akacyadhvam,kaYc,kañc,imperfect,passive,2,pl,,primary
akacyanta,akacyanta,kaYc,kañc,imperfect,passive,3,pl,,primary
akacyAmahi,akacyāmahi,kaYc,kañc,imperfect,passive,1,pl,,primary
akacyAvahi,akacyāvahi,kaYc,kañc,imperfect,passive,1,du,,primary
akacye,akacye,kaYc,kañc,imperfect,passive,1,sg,,primary
akacyetAm,akacyetām,kaYc,kañc,imperfect,passive,3,du,,primary
akacyeTAm,akacyethām,kaYc,kañc,imperfect,passive,2,du,,primary
akaYcata,akañcata,kaYc,kañc,imperfect,middle,3,sg,1,primary
akaYcaTAs,akañcathās,kaYc,kañc,imperfect,middle,2,sg,1,primary
akaYcaDvam,akañcadhvam,kaYc,kañc,imperfect,middle,2,pl,1,primary
akaYcanta,akañcanta,kaYc,kañc,imperfect,middle,3,pl,1,primary
akaYcAmahi,akañcāmahi,kaYc,kañc,imperfect,middle,1,pl,1,primary
akaYcAvahi,akañcāvahi,kaYc,kañc,imperfect,middle,1,du,1,primary
akaYce,akañce,kaYc,kañc,imperfect,middle,1,sg,1,primary
akaYcetAm,akañcetām,kaYc,kañc,imperfect,middle,3,du,1,primary
akaYceTAm,akañcethām,kaYc,kañc,imperfect,middle,2,du,1,primary
akaWorayat,akaṭhorayat,kaWora,kaṭhora,imperfect,active,3,sg,11,primary
akaWorayata,akaṭhorayata,kaWora,kaṭhora,imperfect,active,2,pl,11,primary
akaWorayatam,akaṭhorayatam,kaWora,kaṭhora,imperfect,active,2,du,11,primary
akaWorayatAm,akaṭhorayatām,kaWora,kaṭhora,imperfect,active,3,du,11,primary
akaWorayan,akaṭhorayan,kaWora,kaṭhora,imperfect,active,3,pl,11,primary
akaWorayam,akaṭhorayam,kaWora,kaṭhora,imperfect,active,1,sg,11,primary
akaWorayas,akaṭhorayas,kaWora,kaṭhora,imperfect,active,2,sg,11,primary
akaWorayAma,akaṭhorayāma,kaWora,kaṭhora,imperfect,active,1,pl,11,primary
akaWorayAva,akaṭhorayāva,kaWora,kaṭhora,imperfect,active,1,du,11,primary
akaWoryata,akaṭhoryata,kaWora,kaṭhora,imperfect,passive,3,sg,,primary
akaWoryaTAs,akaṭhoryathās,kaWora,kaṭhora,imperfect,passive,2,sg,,primary
akaWoryaDvam,akaṭhoryadhvam,kaWora,kaṭhora,imperfect,passive,2,pl,,primary
akaWoryanta,akaṭhoryanta,kaWora,kaṭhora,imperfect,passive,3,pl,,primary
akaWoryAmahi,akaṭhoryāmahi,kaWora,kaṭhora,imperfect,passive,1,pl,,primary
akaWoryAvahi,akaṭhoryāvahi,kaWora,kaṭhora,imperfect,passive,1,du,,primary
akaWorye,akaṭhorye,kaWora,kaṭhora,imperfect,passive,1,sg,,primary
akaWoryetAm,akaṭhoryetām,kaWora,kaṭhora,imperfect,passive,3,du,,primary
akaWoryeTAm,akaṭhoryethām,kaWora,kaṭhora,imperfect,passive,2,du,,primary
akaRat,akaṇat,kaR,kaṇ,imperfect,active,3,sg,1,primary
akaRata,akaṇata,kaR,kaṇ,imperfect,middle,3,sg,1,primary
akaRatam,akaṇatam,kaR,kaṇ,imperfect,active,2,du,1,primary
akaRatAm,akaṇatām,kaR,kaṇ,imperfect,active,3,du,1,primary
akaRaTAs,akaṇathās,kaR,kaṇ,imperfect,middle,2,sg,1,primary
akaRaDvam,akaṇadhvam,kaR,kaṇ,imperfect,middle,2,pl,1,primary
akaRan,akaṇan,kaR,kaṇ,imperfect,active,3,pl,1,primary
akaRanta,akaṇanta,kaR,kaṇ,imperfect,middle,3,pl,1,primary
akaRam,akaṇam,kaR,kaṇ,imperfect,active,1,sg,1,primary
akaRas,akaṇas,kaR,kaṇ,imperfect,active,2,sg,1,primary
akaRAma,akaṇāma,kaR,kaṇ,imperfect,active,1,pl,1,primary
akaRAmahi,akaṇāmahi,kaR,kaṇ,imperfect,middle,1,pl,1,primary
akaRAva,akaṇāva,kaR,kaṇ,imperfect,active,1,du,1,primary
akaRAvahi,akaṇāvahi,kaR,kaṇ,imperfect,middle,1,du,1,primary
akaRe,akaṇe,kaR,kaṇ,imperfect,middle,1,sg,1,primary
akaRetAm,akaṇetām,kaR,kaṇ,imperfect,middle,3,du,1,primary
akaReTAm,akaṇethām,kaR,kaṇ,imperfect,middle,2,du,1,primary
akaRqayat,akaṇḍayat,kaRq,kaṇḍ,imperfect,active,3,sg,10,primary
akaRqayata,akaṇḍayata,kaRq,kaṇḍ,imperfect,active,2,pl,10,primary
akaRqayatam,akaṇḍayatam,kaRq,kaṇḍ,imperfect,active,2,du,10,primary
akaRqayatAm,akaṇḍayatām,kaRq,kaṇḍ,imperfect,active,3,du,10,primary
akaRqayan,akaṇḍayan,kaRq,kaṇḍ,imperfect,active,3,pl,10,primary
akaRqayam,akaṇḍayam,kaRq,kaṇḍ,imperfect,active,1,sg,10,primary
akaRqayas,akaṇḍayas,kaRq,kaṇḍ,imperfect,active,2,sg,10,primary
akaRqayAma,akaṇḍayāma,kaRq,kaṇḍ,imperfect,active,1,pl,10,primary
akaRqayAva,akaṇḍayāva,kaRq,kaṇḍ,imperfect,active,1,du,10,primary
akaRqUyat,akaṇḍūyat,kaRqu,kaṇḍu,imperfect,active,3,sg,11,primary
akaRqUyata,akaṇḍūyata,kaRqu,kaṇḍu,imperfect,active,2,pl,11,primary
akaRqUyatam,akaṇḍūyatam,kaRqu,kaṇḍu,imperfect,active,2,du,11,primary
akaRqUyatAm,akaṇḍūyatām,kaRqu,kaṇḍu,imperfect,active,3,du,11,primary
akaRqUyaTAs,akaṇḍūyathās,kaRqu,kaṇḍu,imperfect,middle,2,sg,11,primary
akaRqUyaDvam,akaṇḍūyadhvam,kaRqu,kaṇḍu,imperfect,middle,2,pl,11,primary
akaRqUyan,akaṇḍūyan,kaRqu,kaṇḍu,imperfect,active,3,pl,11,primary
akaRqUyanta,akaṇḍūyanta,kaRqu,kaṇḍu,imperfect,middle,3,pl,11,primary
akaRqUyam,akaṇḍūyam,kaRqu,kaṇḍu,imperfect,active,1,sg,11,primary
akaRqUyas,akaṇḍūyas,kaRqu,kaṇḍu,imperfect,active,2,sg,11,primary
akaRqUyAma,akaṇḍūyāma,kaRqu,kaṇḍu,imperfect,active,1,pl,11,primary
akaRqUyAmahi,akaṇḍūyāmahi,kaRqu,kaṇḍu,imperfect,middle,1,pl,11,primary
akaRqUyAva,akaṇḍūyāva,kaRqu,kaṇḍu,imperfect,active,1,du,11,primary
akaRqUyAvahi,akaṇḍūyāvahi,kaRqu,kaṇḍu,imperfect,middle,1,du,11,primary
akaRqUye,akaṇḍūye,kaRqu,kaṇḍu,imperfect,middle,1,sg,11,primary
akaRqUyetAm,akaṇḍūyetām,kaRqu,kaṇḍu,imperfect,middle,3,du,11,primary
akaRqUyeTAm,akaṇḍūyethām,kaRqu,kaṇḍu,imperfect,middle,2,du,11,primary
akaRqyata,akaṇḍyata,kaRq,kaṇḍ,imperfect,passive,3,sg,,primary
akaRqyaTAs,akaṇḍyathās,kaRq,kaṇḍ,imperfect,passive,2,sg,,primary
akaRqyaDvam,akaṇḍyadhvam,kaRq,kaṇḍ,imperfect,passive,2,pl,,primary
akaRqyanta,akaṇḍyanta,kaRq,kaṇḍ,imperfect,passive,3,pl,,primary
akaRqyAmahi,akaṇḍyāmahi,kaRq,kaṇḍ,imperfect,passive,1,pl,,primary
akaRqyAvahi,akaṇḍyāvahi,kaRq,kaṇḍ,imperfect,passive,1,du,,primary
akaRqye,akaṇḍye,kaRq,kaṇḍ,imperfect,passive,1,sg,,primary
akaRqyetAm,akaṇḍyetām,kaRq,kaṇḍ,imperfect,passive,3,du,,primary
akaRqyeTAm,akaṇḍyethām,kaRq,kaṇḍ,imperfect,passive,2,du,,primary
akaRyata,akaṇyata,kaR,kaṇ,imperfect,passive,3,sg,,primary
akaRyaTAs,akaṇyathās,kaR,kaṇ,imperfect,passive,2,sg,,primary
akaRyaDvam,akaṇyadhvam,kaR,kaṇ,imperfect,passive,2,pl,,primary
akaRyanta,akaṇyanta,kaR,kaṇ,imperfect,passive,3,pl,,primary
akaRyAmahi,akaṇyāmahi,kaR,kaṇ,imperfect,passive,1,pl,,primary
akaRyAvahi,akaṇyāvahi,kaR,kaṇ,imperfect,passive,1,du,,primary
akaRye,akaṇye,kaR,kaṇ,imperfect,passive,1,sg,,primary
akaRyetAm,akaṇyetām,kaR,kaṇ,imperfect,passive,3,du,,primary
akaRyeTAm,akaṇyethām,kaR,kaṇ,imperfect,passive,2,du,,primary
akaRvAyata,akaṇvāyata,kaRva,kaṇva,imperfect,middle,3,sg,11,primary
akaRvAyaTAs,akaṇvāyathās,kaRva,kaṇva,imperfect,middle,2,sg,11,primary
akaRvAyaDvam,akaṇvāyadhvam,kaRva,kaṇva,imperfect,middle,2,pl,11,primary
akaRvAyanta,akaṇvāyanta,kaRva,kaṇva,imperfect,middle,3,pl,11,primary
akaRvAyAmahi,akaṇvāyāmahi,kaRva,kaṇva,imperfect,middle,1,pl,11,primary
akaRvAyAvahi,akaṇvāyāvahi,kaRva,kaṇva,imperfect,middle,1,du,11,primary
akaRvAye,akaṇvāye,kaRva,kaṇva,imperfect,middle,1,sg,11,primary
akaRvAyetAm,akaṇvāyetām,kaRva,kaṇva,imperfect,middle,3,du,11,primary
akaRvAyeTAm,akaṇvāyethām,kaRva,kaṇva,imperfect,middle,2,du,11,primary
akatTata,akatthata,katT,katth,imperfect,middle,3,sg,1,primary
akatTaTAs,akatthathās,katT,katth,imperfect,middle,2,sg,1,primary
akatTaDvam,akatthadhvam,katT,katth,imperfect,middle,2,pl,1,primary
akatTanta,akatthanta,katT,katth,imperfect,middle,3,pl,1,primary
akatTAmahi,akatthāmahi,katT,katth,imperfect,middle,1,pl,1,primary
akatTAvahi,akatthāvahi,katT,katth,imperfect,middle,1,du,1,primary
akatTe,akatthe,katT,katth,imperfect,middle,1,sg,1,primary
akatTetAm,akatthetām,katT,katth,imperfect,middle,3,du,1,primary
akatTeTAm,akatthethām,katT,katth,imperfect,middle,2,du,1,primary
akatTyata,akatthyata,katT,katth,imperfect,passive,3,sg,,primary
akatTyaTAs,akatthyathās,katT,katth,imperfect,passive,2,sg,,primary
akatTyaDvam,akatthyadhvam,katT,katth,imperfect,passive,2,pl,,primary
akatTyanta,akatthyanta,katT,katth,imperfect,passive,3,pl,,primary
akatTyAmahi,akatthyāmahi,katT,katth,imperfect,passive,1,pl,,primary
akatTyAvahi,akatthyāvahi,katT,katth,imperfect,passive,1,du,,primary
akatTye,akatthye,katT,katth,imperfect,passive,1,sg,,primary
akatTyetAm,akatthyetām,katT,katth,imperfect,passive,3,du,,primary
akatTyeTAm,akatthyethām,katT,katth,imperfect,passive,2,du,,primary
akaTayat,akathayat,kaT,kath,imperfect,active,3,sg,10,primary
akaTayata,akathayata,kaT,kath,imperfect,middle,3,sg,10,primary
akaTayatam,akathayatam,kaT,kath,imperfect,active,2,du,10,primary
akaTayatAm,akathayatām,kaT,kath,imperfect,active,3,du,10,primary
akaTayaTAs,akathayathās,kaT,kath,imperfect,middle,2,sg,10,primary
akaTayaDvam,akathayadhvam,kaT,kath,imperfect,middle,2,pl,10,primary
akaTayan,akathayan,kaT,kath,imperfect,active,3,pl,10,primary
akaTayanta,akathayanta,kaT,kath,imperfect,middle,3,pl,10,primary
akaTayam,akathayam,kaT,kath,imperfect,active,1,sg,10,primary
akaTayas,akathayas,kaT,kath,imperfect,active,2,sg,10,primary
akaTayAma,akathayāma,kaT,kath,imperfect,active,1,pl,10,primary
akaTayAmahi,akathayāmahi,kaT,kath,imperfect,middle,1,pl,10,primary
akaTayAva,akathayāva,kaT,kath,imperfect,active,1,du,10,primary
akaTayAvahi,akathayāvahi,kaT,kath,imperfect,middle,1,du,10,primary
akaTaye,akathaye,kaT,kath,imperfect,middle,1,sg,10,primary
akaTayetAm,akathayetām,kaT,kath,imperfect,middle,3,du,10,primary
akaTayeTAm,akathayethām,kaT,kath,imperfect,middle,2,du,10,primary
akaTyata,akathyata,kaT,kath,imperfect,passive,3,sg,,primary
akaTyaTAs,akathyathās,kaT,kath,imperfect,passive,2,sg,,primary
akaTyaDvam,akathyadhvam,kaT,kath,imperfect,passive,2,pl,,primary
akaTyanta,akathyanta,kaT,kath,imperfect,passive,3,pl,,primary
akaTyAmahi,akathyāmahi,kaT,kath,imperfect,passive,1,pl,,primary
akaTyAvahi,akathyāvahi,kaT,kath,imperfect,passive,1,du,,primary
akaTye,akathye,kaT,kath,imperfect,passive,1,sg,,primary
akaTyetAm,akathyetām,kaT,kath,imperfect,passive,3,du,,primary
akaTyeTAm,akathyethām,kaT,kath,imperfect,passive,2,du,,primary
akadarTayat,akadarthayat,kadarTa,kadartha,imperfect,active,3,sg,11,primary
akadarTayata,akadarthayata,kadarTa,kadartha,imperfect,active,2,pl,11,primary
akadarTayatam,akadarthayatam,kadarTa,kadartha,imperfect,active,2,du,11,primary
akadarTayatAm,akadarthayatām,kadarTa,kadartha,imperfect,active,3,du,11,primary
akadarTayan,akadarthayan,kadarTa,kadartha,imperfect,active,3,pl,11,primary
akadarTayam,akadarthayam,kadarTa,kadartha,imperfect,active,1,sg,11,primary
akadarTayas,akadarthayas,kadarTa,kadartha,imperfect,active,2,sg,11,primary
akadarTayAma,akadarthayāma,kadarTa,kadartha,imperfect,active,1,pl,11,primary
akadarTayAva,akadarthayāva,kadarTa,kadartha,imperfect,active,1,du,11,primary
akadarTyata,akadarthyata,kadarTa,kadartha,imperfect,passive,3,sg,,primary
akadarTyaTAs,akadarthyathās,kadarTa,kadartha,imperfect,passive,2,sg,,primary
akadarTyaDvam,akadarthyadhvam,kadarTa,kadartha,imperfect,passive,2,pl,,primary
akadarTyanta,akadarthyanta,kadarTa,kadartha,imperfect,passive,3,pl,,primary
akadarTyAmahi,akadarthyāmahi,kadarTa,kadartha,imperfect,passive,1,pl,,primary
akadarTyAvahi,akadarthyāvahi,kadarTa,kadartha,imperfect,passive,1,du,,primary
akadarTye,akadarthye,kadarTa,kadartha,imperfect,passive,1,sg,,primary
akadarTyetAm,akadarthyetām,kadarTa,kadartha,imperfect,passive,3,du,,primary
akadarTyeTAm,akadarthyethām,kadarTa,kadartha,imperfect,passive,2,du,,primary
akandukAyata,akandukāyata,kanduka,kanduka,imperfect,middle,3,sg,11,primary
akandukAyaTAs,akandukāyathās,kanduka,kanduka,imperfect,middle,2,sg,11,primary
akandukAyaDvam,akandukāyadhvam,kanduka,kanduka,imperfect,middle,2,pl,11,primary
akandukAyanta,akandukāyanta,kanduka,kanduka,imperfect,middle,3,pl,11,primary
akandukAyAmahi,akandukāyāmahi,kanduka,kanduka,imperfect,middle,1,pl,11,primary
akandukAyAvahi,akandukāyāvahi,kanduka,kanduka,imperfect,middle,1,du,11,primary
akandukAye,akandukāye,kanduka,kanduka,imperfect,middle,1,sg,11,primary
akandukAyetAm,akandukāyetām,kanduka,kanduka,imperfect,middle,3,du,11,primary
akandukAyeTAm,akandukāyethām,kanduka,kanduka,imperfect,middle,2,du,11,primary
akampata,akampata,kamp,kamp,imperfect,middle,3,sg,1,primary
akampaTAs,akampathās,kamp,kamp,imperfect,middle,2,sg,1,primary
akampaDvam,akampadhvam,kamp,kamp,imperfect,middle,2,pl,1,primary
akampanta,akampanta,kamp,kamp,imperfect,middle,3,pl,1,primary
akampayat,akampayat,kamp,kamp,imperfect,active,3,sg,,causative
akampayata,akampayata,kamp,kamp,imperfect,middle,3,sg,,causative
akampayatam,akampayatam,kamp,kamp,imperfect,active,2,du,,causative
akampayatAm,akampayatām,kamp,kamp,imperfect,active,3,du,,causative
akampayaTAs,akampayathās,kamp,kamp,imperfect,middle,2,sg,,causative
akampayaDvam,akampayadhvam,kamp,kamp,imperfect,middle,2,pl,,causative
akampayan,akampayan,kamp,kamp,imperfect,active,3,pl,,causative
akampayanta,akampayanta,kamp,kamp,imperfect,middle,3,pl,,causative
akampayam,akampayam,kamp,kamp,imperfect,active,1,sg,,causative
akampayas,akampayas,kamp,kamp,imperfect,active,2,sg,,causative
akampayAma,akampayāma,kamp,kamp,imperfect,active,1,pl,,causative
akampayAmahi,akampayāmahi,kamp,kamp,imperfect,middle,1,pl,,causative
akampayAva,akampayāva,kamp,kamp,imperfect,active,1,du,,causative
akampayAvahi,akampayāvahi,kamp,kamp,imperfect,middle,1,du,,causative
akampaye,akampaye,kamp,kamp,imperfect,middle,1,sg,,causative
akampayetAm,akampayetām,kamp,kamp,imperfect,middle,3,du,,causative
akampayeTAm,akampayethām,kamp,kamp,imperfect,middle,2,du,,causative
akampAmahi,akampāmahi,kamp,kamp,imperfect,middle,1,pl,1,primary
akampAvahi,akampāvahi,kamp,kamp,imperfect,middle,1,du,1,primary
akampiDvam,akampidhvam,kamp,kamp,aorist,middle,2,pl,5,primary
akampizata,akampiṣata,kamp,kamp,aorist,middle,3,pl,5,primary
akampizAtAm,akampiṣātām,kamp,kamp,aorist,middle,3,du,5,primary
akampizATAm,akampiṣāthām,kamp,kamp,aorist,middle,2,du,5,primary
akampizi,akampiṣi,kamp,kamp,aorist,middle,1,sg,5,primary
akampizwa,akampiṣṭa,kamp,kamp,aorist,middle,3,sg,5,primary
akampizWAs,akampiṣṭhās,kamp,kamp,aorist,middle,2,sg,5,primary
akampizmahi,akampiṣmahi,kamp,kamp,aorist,middle,1,pl,5,primary
akampizvahi,akampiṣvahi,kamp,kamp,aorist,middle,1,du,5,primary
akampe,akampe,kamp,kamp,imperfect,middle,1,sg,1,primary
akampetAm,akampetām,kamp,kamp,imperfect,middle,3,du,1,primary
akampeTAm,akampethām,kamp,kamp,imperfect,middle,2,du,1,primary
akampyata,akampyata,kamp,kamp,imperfect,passive,3,sg,,primary
akampyaTAs,akampyathās,kamp,kamp,imperfect,passive,2,sg,,primary
akampyaDvam,akampyadhvam,kamp,kamp,imperfect,passive,2,pl,,primary
akampyanta,akampyanta,kamp,kamp,imperfect,passive,3,pl,,primary
akampyAmahi,akampyāmahi,kamp,kamp,imperfect,passive,1,pl,,primary
akampyAvahi,akampyāvahi,kamp,kamp,imperfect,passive,1,du,,primary
akampye,akampye,kamp,kamp,imperfect,passive,1,sg,,primary
akampyetAm,akampyetām,kamp,kamp,imperfect,passive,3,du,,primary
akampyeTAm,akampyethām,kamp,kamp,imperfect,passive,2,du,,primary
akar,akar,kf,kṛ,aorist,active,3,sg,1,primary
akaram,akaram,kf,kṛ,aorist,active,1,sg,1,primary
akaravam,akaravam,kf,kṛ,imperfect,active,1,sg,8,primary
