form,root,pos,modification,form_IAST,root_IAST
UQvA,vah#1,gerund,,ūḍhvā,vah#1
UtvA,vA#3,gerund,,ūtvā,vā#3
UrjayitvA,Urj#1,gerund,caus,ūrjayitvā,ūrj#1
UzmAyitvA,Uzman,gerund,,ūṣmāyitvā,ūṣman
UhitvA,Uh,gerund,,ūhitvā,ūh
ftvA,f,gerund,,ṛtvā,ṛ
fdDvA,fD,gerund,,ṛddhvā,ṛdh
fzwvA,fz,gerund,,ṛṣṭvā,ṛṣ
ejayitvA,ej,gerund,caus,ejayitvā,ej
ejitvA,ej,gerund,,ejitvā,ej
eDayitvA,eD,gerund,caus,edhayitvā,edh
eDitvA,eD,gerund,,edhitvā,edh
elayitvA,il,gerund,caus,elayitvā,il
ezitvA,iz#1,gerund,,eṣitvā,iṣ#1
ezitvA,iz#2,gerund,,eṣitvā,iṣ#2
ocitvA,uc,gerund,,ocitvā,uc
kaRqayitvA,kaRq,gerund,,kaṇḍayitvā,kaṇḍ
kaRqUyitvA,kaRqu,gerund,,kaṇḍūyitvā,kaṇḍu
kaRvAyitvA,kaRva,gerund,,kaṇvāyitvā,kaṇva
katTitvA,katT,gerund,,katthitvā,katth
kaTayitvA,kaT,gerund,,kathayitvā,kath
kadarTayitvA,kadarTa,gerund,,kadarthayitvā,kadartha
kampayitvA,kamp,gerund,caus,kampayitvā,kamp
kampitvA,kamp,gerund,,kampitvā,kamp
karuRAyitvA,karuRa,gerund,,karuṇāyitvā,karuṇa
karRayitvA,karRa,gerund,,karṇayitvā,karṇa
kartrIyitvA,kartf,gerund,,kartrīyitvā,kartṛ
karpitvA,kfp,gerund,,karpitvā,kṛp
karSayitvA,kfS,gerund,caus,karśayitvā,kṛś
karSitvA,kfS,gerund,,karśitvā,kṛś
karzayitvA,kfz,gerund,caus,karṣayitvā,kṛṣ
kalaNkayitvA,kalaNka,gerund,,kalaṅkayitvā,kalaṅka
kalayitvA,kal,gerund,,kalayitvā,kal
kalahAyitvA,kalaha,gerund,,kalahāyitvā,kalaha
kaluzayitvA,kaluza,gerund,,kaluṣayitvā,kaluṣa
kaluzAyitvA,kaluza,gerund,,kaluṣāyitvā,kaluṣa
kalpayitvA,kxp,gerund,caus,kalpayitvā,kḷp
kavalayitvA,kavala,gerund,,kavalayitvā,kavala
kavIyitvA,kavi,gerund,,kavīyitvā,kavi
kazitvA,kaz,gerund,,kaṣitvā,kaṣ
kazwAyitvA,kazwa,gerund,,kaṣṭāyitvā,kaṣṭa
kasitvA,kas,gerund,,kasitvā,kas
kANkzitvA,kANkz,gerund,,kāṅkṣitvā,kāṅkṣ
kAmayitvA,kam,gerund,caus,kāmayitvā,kam
kArayitvA,kf#1,gerund,caus,kārayitvā,kṛ#1
kAlayitvA,kal,gerund,caus,kālayitvā,kal
kASayitvA,kAS,gerund,caus,kāśayitvā,kāś
kASitvA,kAS,gerund,,kāśitvā,kāś
kAzayitvA,kaz,gerund,caus,kāṣayitvā,kaṣ
kAsayitvA,kas,gerund,caus,kāsayitvā,kas
kIrtayitvA,kIrt,gerund,,kīrtayitvā,kīrt
kIrtvA,kF,gerund,,kīrtvā,kṝ
kucitvA,kuc,gerund,,kucitvā,kuc
kuYcayitvA,kuc,gerund,caus,kuñcayitvā,kuc
kuYcitvA,kuc,gerund,,kuñcitvā,kuc
kuwwayitvA,kuwwa,gerund,,kuṭṭayitvā,kuṭṭa
kuwwvA,kuw,gerund,,kuṭṭvā,kuṭ
kuRWitvA,kuRW,gerund,,kuṇṭhitvā,kuṇṭh
kuRqayitvA,kuRq,gerund,caus,kuṇḍayitvā,kuṇḍ
kuRqitvA,kuRq,gerund,,kuṇḍitvā,kuṇḍ
