Root,Class,Derivation,Tense,Voice,Person,Number,Expected (INRIA),Actual (FST)
su,5 (primary),primary,future,middle,1,pl,saviṣyāmahe OR soṣyāmahe,saviṣyāmahe OR soṣyāmahe
su,5 (primary),primary,future,middle,2,sg,saviṣyase OR soṣyase,saviṣyase OR soṣyase
su,5 (primary),primary,future,middle,2,du,saviṣyethe OR soṣyethe,saviṣyethe OR soṣyethe
su,5 (primary),primary,future,middle,2,pl,saviṣyadhve OR soṣyadhve,saviṣyadhve OR soṣyadhve
su,5 (primary),primary,future,middle,3,sg,saviṣyate OR soṣyate,saviṣyate OR soṣyate
su,5 (primary),primary,future,middle,3,du,saviṣyete OR soṣyete,saviṣyete OR soṣyete
su,5 (primary),primary,future,middle,3,pl,saviṣyante OR soṣyante,saviṣyante OR soṣyante
su,5 (primary),primary,perfect,active,2,sg,suṣavitha OR suṣotha,suṣavitha OR suṣotha
su,5 (primary),primary,periphrastic_future,active,1,sg,savitāsmi OR sotāsmi,savitāsmi OR sotāsmi
su,5 (primary),primary,periphrastic_future,active,1,du,savitāsvaḥ OR sotāsvaḥ,savitāsvaḥ OR sotāsvaḥ
su,5 (primary),primary,periphrastic_future,active,1,pl,savitāsmaḥ OR sotāsmaḥ,savitāsmaḥ OR sotāsmaḥ
su,5 (primary),primary,periphrastic_future,active,2,sg,savitāsi OR sotāsi,savitāsi OR sotāsi
su,5 (primary),primary,periphrastic_future,active,2,du,savitāsthaḥ OR sotāsthaḥ,savitāsthaḥ OR sotāsthaḥ
su,5 (primary),primary,periphrastic_future,active,2,pl,savitāstha OR sotāstha,savitāstha OR sotāstha
su,5 (primary),primary,periphrastic_future,active,3,sg,savitā OR sotā,savitā OR sotā
su,5 (primary),primary,periphrastic_future,active,3,du,savitārau OR sotārau,savitārau OR sotārau
su,5 (primary),primary,periphrastic_future,active,3,pl,savitāraḥ OR sotāraḥ,savitāraḥ OR sotāraḥ
yuj,7 (primary),primary,aorist,active,1,sg,ayujam OR ayokṣam OR ayaukṣam,ayaukṣam OR ayujam
